id	parlamentarier_id	stichdatum	in_liste	verguetung_transparent	freigabe_datum	parlamentarier_name	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache
24	55	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Birrer-Heimo, Prisca"	"NR"	"LU"	"SP"	"S"	"GPK-NR, WAK-NR"	2010-05-31		"F"	1959-02-04	4030	2743	"de"	"de"
524	219	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Bischof, Pirmin"	"SR"	"SO"	"CVP"	"M-CEB"	"APK-NS 20-30, APK-SR, Del D-V, SGK-SR, UREK-SR, WAK-SR"	2007-12-03		"M"	1959-02-24	3871	2674	"de"	"de"
279	219	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Bischof, Pirmin"	"SR"	"SO"	"CVP"	"M-CEB"	"APK-NS 20-30, APK-SR, Del D-V, SGK-SR, UREK-SR, WAK-SR"	2007-12-03		"M"	1959-02-24	3871	2674	"de"	"de"
25	219	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Bischof, Pirmin"	"SR"	"SO"	"CVP"	"M-CEB"	"APK-NS 20-30, APK-SR, Del D-V, SGK-SR, UREK-SR, WAK-SR"	2007-12-03		"M"	1959-02-24	3871	2674	"de"	"de"
525	268	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Borloz, Frédéric"	"NR"	"VD"	"FDP"	"RL"	"KVF-NR"	2015-11-30		"M"	1966-04-22	4188	3061	"fr"	"fr"
281	268	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Borloz, Frédéric"	"NR"	"VD"	"FDP"	"RL"	"KVF-NR"	2015-11-30		"M"	1966-04-22	4188	3061	"fr"	"fr"
27	268	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Borloz, Frédéric"	"NR"	"VD"	"FDP"	"RL"	"KVF-NR"	2015-11-30		"M"	1966-04-22	4188	3061	"fr"	"fr"
526	57	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Bourgeois, Jacques"	"NR"	"FR"	"FDP"	"RL"	"FK-NR, UREK-NR"	2007-12-03		"M"	1958-03-14	3872	2675	"fr"	"fr"
282	57	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Bourgeois, Jacques"	"NR"	"FR"	"FDP"	"RL"	"FK-NR, UREK-NR"	2007-12-03		"M"	1958-03-14	3872	2675	"fr"	"fr"
28	57	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Bourgeois, Jacques"	"NR"	"FR"	"FDP"	"RL"	"FK-NR, UREK-NR"	2007-12-03		"M"	1958-03-14	3872	2675	"fr"	"fr"
528	340	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Bregy, Philipp Matthias"	"NR"	"VS"	"CVPO"	"M-CEB"	"IK-NR, KVF-NR, RK-NR"	2019-03-04		"M"	1978-07-07	4230	3131	"de"	"de"
529	269	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Brélaz, Daniel"	"NR"	"VD"	"GPS"	"G"	"Bü-NR, FK-NR, RK-NR"	1979-11-26		"M"	1950-01-04	724	2023	"fr"	"fr"
284	269	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Brélaz, Daniel"	"NR"	"VD"	"GPS"	"G"	"Bü-NR, FK-NR, RK-NR"	1979-11-26		"M"	1950-01-04	724	2023	"fr"	"fr"
30	269	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Brélaz, Daniel"	"NR"	"VD"	"GPS"	"G"	"Bü-NR, FK-NR, RK-NR"	1979-11-26		"M"	1950-01-04	724	2023	"fr"	"fr"
532	60	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Büchel, Roland"	"NR"	"SG"	"SVP"	"V"	"APK-NR, Bü-NR, Del FL-V, ERD-V"	2010-03-01		"M"	1965-10-08	4025	2740	"de"	"de"
288	60	2018-11-19	1	"teilweise"	2019-12-24T16:13:05	"Büchel, Roland"	"NR"	"SG"	"SVP"	"V"	"APK-NR, Bü-NR, Del FL-V, ERD-V"	2010-03-01		"M"	1965-10-08	4025	2740	"de"	"de"
33	60	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Büchel, Roland"	"NR"	"SG"	"SVP"	"V"	"APK-NR, Bü-NR, Del FL-V, ERD-V"	2010-03-01		"M"	1965-10-08	4025	2740	"de"	"de"
533	270	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Buffat, Michaël"	"NR"	"VD"	"SVP"	"V"	"Del F-V, RedK-V, SPK-NR"	2015-11-30		"M"	1979-09-27	4156	3062	"fr"	"fr"
289	270	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Buffat, Michaël"	"NR"	"VD"	"SVP"	"V"	"Del F-V, RedK-V, SPK-NR"	2015-11-30		"M"	1979-09-27	4156	3062	"fr"	"fr"
35	270	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Buffat, Michaël"	"NR"	"VD"	"SVP"	"V"	"Del F-V, RedK-V, SPK-NR"	2015-11-30		"M"	1979-09-27	4156	3062	"fr"	"fr"
