id	parlamentarier_id	stichdatum	in_liste	verguetung_transparent	freigabe_datum	parlamentarier_name	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache
66	76	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Fässler, Daniel"	"SR"	"AI"	"CVP"	"M-CEB"	"BeK-V, Del I-V, GPK-SR, OSZE, SPK-SR, UREK-SR"	2011-12-05		"M"	1960-08-22	4056	2767	"de"	"de"
567	280	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Fehlmann Rielle, Laurence"	"NR"	"GE"	"SP"	"S"	"IK-NR, IPU, RK-NR"	2015-11-30		"F"	1955-09-11	4195	3071	"fr"	"fr"
322	280	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Fehlmann Rielle, Laurence"	"NR"	"GE"	"SP"	"S"	"IK-NR, IPU, RK-NR"	2015-11-30		"F"	1955-09-11	4195	3071	"fr"	"fr"
67	280	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Fehlmann Rielle, Laurence"	"NR"	"GE"	"SP"	"S"	"IK-NR, IPU, RK-NR"	2015-11-30		"F"	1955-09-11	4195	3071	"fr"	"fr"
568	79	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Feller, Olivier"	"NR"	"VD"	"FDP"	"RL"	"FK-NR"	2011-12-05		"M"	1974-08-30	4077	2789	"fr"	"fr"
323	79	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Feller, Olivier"	"NR"	"VD"	"FDP"	"RL"	"FK-NR"	2011-12-05		"M"	1974-08-30	4077	2789	"fr"	"fr"
68	79	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Feller, Olivier"	"NR"	"VD"	"FDP"	"RL"	"FK-NR"	2011-12-05		"M"	1974-08-30	4077	2789	"fr"	"fr"
569	80	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Feri, Yvonne"	"NR"	"AG"	"SP"	"S"	"GPDel-V, GPK-NR, SGK-NR"	2011-12-05		"F"	1966-03-21	4069	2777	"de"	"de"
324	80	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Feri, Yvonne"	"NR"	"AG"	"SP"	"S"	"GPDel-V, GPK-NR, SGK-NR"	2011-12-05		"F"	1966-03-21	4069	2777	"de"	"de"
69	80	2017-05-27	1	"teilweise"	2019-12-24T16:13:39	"Feri, Yvonne"	"NR"	"AG"	"SP"	"S"	"GPDel-V, GPK-NR, SGK-NR"	2011-12-05		"F"	1966-03-21	4069	2777	"de"	"de"
571	81	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Fiala, Doris"	"NR"	"ZH"	"FDP"	"RL"	"Del D-V, SiK-NR"	2007-12-03		"F"	1957-01-29	3877	2680	"de"	"de"
326	81	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Fiala, Doris"	"NR"	"ZH"	"FDP"	"RL"	"Del D-V, SiK-NR"	2007-12-03		"F"	1957-01-29	3877	2680	"de"	"de"
71	81	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Fiala, Doris"	"NR"	"ZH"	"FDP"	"RL"	"Del D-V, SiK-NR"	2007-12-03		"F"	1957-01-29	3877	2680	"de"	"de"
572	83	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Flach, Beat"	"NR"	"AG"	"GLP"	"GL"	"BeK-V, RK-NR, SiK-NR"	2011-12-05		"M"	1965-01-21	4059	2765	"de"	"de"
327	83	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Flach, Beat"	"NR"	"AG"	"GLP"	"GL"	"BeK-V, RK-NR, SiK-NR"	2011-12-05		"M"	1965-01-21	4059	2765	"de"	"de"
72	83	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Flach, Beat"	"NR"	"AG"	"GLP"	"GL"	"BeK-V, RK-NR, SiK-NR"	2011-12-05		"M"	1965-01-21	4059	2765	"de"	"de"
574	85	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Fluri, Kurt"	"NR"	"SO"	"FDP"	"RL"	"KVF-NR, SPK-NR"	2003-12-01		"M"	1955-08-19	1122	2594	"de"	"de"
329	85	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Fluri, Kurt"	"NR"	"SO"	"FDP"	"RL"	"KVF-NR, SPK-NR"	2003-12-01		"M"	1955-08-19	1122	2594	"de"	"de"
74	85	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Fluri, Kurt"	"NR"	"SO"	"FDP"	"RL"	"KVF-NR, SPK-NR"	2003-12-01		"M"	1955-08-19	1122	2594	"de"	"de"
577	86	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Français, Olivier"	"SR"	"VD"	"FDP"	"RL"	"Del F-V, ERD-V, FK-SR, KVF-SR, SiK-SR"	2007-12-03		"M"	1955-10-01	3879	2682	"fr"	"fr"
332	86	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Français, Olivier"	"SR"	"VD"	"FDP"	"RL"	"Del F-V, ERD-V, FK-SR, KVF-SR, SiK-SR"	2007-12-03		"M"	1955-10-01	3879	2682	"fr"	"fr"
77	86	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Français, Olivier"	"SR"	"VD"	"FDP"	"RL"	"Del F-V, ERD-V, FK-SR, KVF-SR, SiK-SR"	2007-12-03		"M"	1955-10-01	3879	2682	"fr"	"fr"
580	88	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Fridez, Pierre-Alain"	"NR"	"JU"	"SP"	"S"	"Bü-NR, ERD-V, NATO-V, SiK-NR"	2011-12-05		"M"	1957-11-20	4074	2778	"fr"	"fr"
334	88	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Fridez, Pierre-Alain"	"NR"	"JU"	"SP"	"S"	"Bü-NR, ERD-V, NATO-V, SiK-NR"	2011-12-05		"M"	1957-11-20	4074	2778	"fr"	"fr"
80	88	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Fridez, Pierre-Alain"	"NR"	"JU"	"SP"	"S"	"Bü-NR, ERD-V, NATO-V, SiK-NR"	2011-12-05		"M"	1957-11-20	4074	2778	"fr"	"fr"
581	89	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Friedl, Claudia"	"NR"	"SG"	"SP"	"S"	"APK-NR, Del A-V, Del FL-V, FK-NR, OSZE"	2013-03-04		"F"	1960-07-19	4131	3035	"de"	"de"
335	89	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Friedl, Claudia"	"NR"	"SG"	"SP"	"S"	"APK-NR, Del A-V, Del FL-V, FK-NR, OSZE"	2013-03-04		"F"	1960-07-19	4131	3035	"de"	"de"
81	89	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Friedl, Claudia"	"NR"	"SG"	"SP"	"S"	"APK-NR, Del A-V, Del FL-V, FK-NR, OSZE"	2013-03-04		"F"	1960-07-19	4131	3035	"de"	"de"
582	93	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Geissbühler, Andrea Martina"	"NR"	"BE"	"SVP"	"V"	"RK-NR"	2007-12-03		"F"	1976-08-03	3880	2683	"de"	"de"
337	93	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Geissbühler, Andrea Martina"	"NR"	"BE"	"SVP"	"V"	"RK-NR"	2007-12-03		"F"	1976-08-03	3880	2683	"de"	"de"
84	93	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Geissbühler, Andrea Martina"	"NR"	"BE"	"SVP"	"V"	"RK-NR"	2007-12-03		"F"	1976-08-03	3880	2683	"de"	"de"
584	227	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Germann, Hannes"	"SR"	"SH"	"SVP"	"V"	"EFTA/EU, ERD-V, GK-V, SGK-SR, WAK-SR, WBK-SR"	2002-09-16		"M"	1956-07-01	825	2575	"de"	"de"
339	227	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Germann, Hannes"	"SR"	"SH"	"SVP"	"V"	"EFTA/EU, ERD-V, GK-V, SGK-SR, WAK-SR, WBK-SR"	2002-09-16		"M"	1956-07-01	825	2575	"de"	"de"
86	227	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Germann, Hannes"	"SR"	"SH"	"SVP"	"V"	"EFTA/EU, ERD-V, GK-V, SGK-SR, WAK-SR, WBK-SR"	2002-09-16		"M"	1956-07-01	825	2575	"de"	"de"
1071	360	2020-12-31	1	"nein"	2020-01-16T13:45:24	"Giezendanner, Benjamin"	"NR"	"AG"	"SVP"	"V"	"KVF-NR"	2019-12-01		"M"	1982-04-22	4266	3158	"de"	"de"
825	360	2020-01-30	1	"nein"	2020-01-16T13:45:24	"Giezendanner, Benjamin"	"NR"	"AG"	"SVP"	"V"	"KVF-NR"	2019-12-01		"M"	1982-04-22	4266	3158	"de"	"de"
586	96	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Girod, Bastien"	"NR"	"ZH"	"GPS"	"G"	"UREK-NR"	2007-12-03		"M"	1980-12-21	3882	2685	"de"	"de"
341	96	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Girod, Bastien"	"NR"	"ZH"	"GPS"	"G"	"UREK-NR"	2007-12-03		"M"	1980-12-21	3882	2685	"de"	"de"
88	96	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Girod, Bastien"	"NR"	"ZH"	"GPS"	"G"	"UREK-NR"	2007-12-03		"M"	1980-12-21	3882	2685	"de"	"de"
587	97	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Glanzmann-Hunkeler, Ida"	"NR"	"LU"	"CVP"	"M-CEB"	"NATO-V, OSZE, SiK-NR"	2006-09-18		"F"	1958-09-29	1337	2657	"de"	"de"
342	97	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Glanzmann-Hunkeler, Ida"	"NR"	"LU"	"CVP"	"M-CEB"	"NATO-V, OSZE, SiK-NR"	2006-09-18		"F"	1958-09-29	1337	2657	"de"	"de"
89	97	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Glanzmann-Hunkeler, Ida"	"NR"	"LU"	"CVP"	"M-CEB"	"NATO-V, OSZE, SiK-NR"	2006-09-18		"F"	1958-09-29	1337	2657	"de"	"de"
588	283	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Glarner, Andreas"	"NR"	"AG"	"SVP"	"V"	"SGK-NR, SPK-NR"	2015-11-30		"M"	1962-10-09	4161	3074	"de"	"de"
343	283	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Glarner, Andreas"	"NR"	"AG"	"SVP"	"V"	"SGK-NR, SPK-NR"	2015-11-30		"M"	1962-10-09	4161	3074	"de"	"de"
90	283	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Glarner, Andreas"	"NR"	"AG"	"SVP"	"V"	"SGK-NR, SPK-NR"	2015-11-30		"M"	1962-10-09	4161	3074	"de"	"de"
589	98	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Glättli, Balthasar"	"NR"	"ZH"	"GPS"	"G"	"SPK-NR"	2011-12-05		"M"	1972-02-12	4093	3003	"de"	"de"
344	98	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Glättli, Balthasar"	"NR"	"ZH"	"GPS"	"G"	"SPK-NR"	2011-12-05		"M"	1972-02-12	4093	3003	"de"	"de"
91	98	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Glättli, Balthasar"	"NR"	"ZH"	"GPS"	"G"	"SPK-NR"	2011-12-05		"M"	1972-02-12	4093	3003	"de"	"de"
592	284	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Gmür-Schönenberger, Andrea"	"SR"	"LU"	"CVP"	"M-CEB"	"APK-SR, SiK-SR, WBK-SR"	2015-11-30		"F"	1964-07-17	4181	3075	"de"	"de"
347	284	2018-11-19	1	"teilweise"	2019-12-24T16:13:05	"Gmür-Schönenberger, Andrea"	"SR"	"LU"	"CVP"	"M-CEB"	"APK-SR, SiK-SR, WBK-SR"	2015-11-30		"F"	1964-07-17	4181	3075	"de"	"de"
94	284	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Gmür-Schönenberger, Andrea"	"SR"	"LU"	"CVP"	"M-CEB"	"APK-SR, SiK-SR, WBK-SR"	2015-11-30		"F"	1964-07-17	4181	3075	"de"	"de"
591	99	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Gmür, Alois"	"NR"	"SZ"	"CVP"	"M-CEB"	"FK-NR, SiK-NR"	2011-12-05		"M"	1955-04-03	4096	3001	"de"	"de"
346	99	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Gmür, Alois"	"NR"	"SZ"	"CVP"	"M-CEB"	"FK-NR, SiK-NR"	2011-12-05		"M"	1955-04-03	4096	3001	"de"	"de"
93	99	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Gmür, Alois"	"NR"	"SZ"	"CVP"	"M-CEB"	"FK-NR, SiK-NR"	2011-12-05		"M"	1955-04-03	4096	3001	"de"	"de"
594	101	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Gössi, Petra"	"NR"	"SZ"	"FDP"	"RL"	"WAK-NR"	2011-12-05		"F"	1976-01-12	4116	3023	"de"	"de"
349	101	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Gössi, Petra"	"NR"	"SZ"	"FDP"	"RL"	"WAK-NR"	2011-12-05		"F"	1976-01-12	4116	3023	"de"	"de"
96	101	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Gössi, Petra"	"NR"	"SZ"	"FDP"	"RL"	"WAK-NR"	2011-12-05		"F"	1976-01-12	4116	3023	"de"	"de"
597	103	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Graf-Litscher, Edith"	"NR"	"TG"	"SP"	"S"	"Bü-NR, KVF-NR, SiK-NR"	2005-05-30		"F"	1964-03-25	1295	2652	"de"	"de"
352	103	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Graf-Litscher, Edith"	"NR"	"TG"	"SP"	"S"	"Bü-NR, KVF-NR, SiK-NR"	2005-05-30		"F"	1964-03-25	1295	2652	"de"	"de"
99	103	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Graf-Litscher, Edith"	"NR"	"TG"	"SP"	"S"	"Bü-NR, KVF-NR, SiK-NR"	2005-05-30		"F"	1964-03-25	1295	2652	"de"	"de"
596	102	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Graf, Maya"	"SR"	"BL"	"GPS"	"G"	"GPDel-V, GPK-SR, SGK-SR, WBK-SR"	2001-06-05		"F"	1962-02-28	806	2569	"de"	"de"
351	102	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Graf, Maya"	"SR"	"BL"	"GPS"	"G"	"GPDel-V, GPK-SR, SGK-SR, WBK-SR"	2001-06-05		"F"	1962-02-28	806	2569	"de"	"de"
98	102	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Graf, Maya"	"SR"	"BL"	"GPS"	"G"	"GPDel-V, GPK-SR, SGK-SR, WBK-SR"	2001-06-05		"F"	1962-02-28	806	2569	"de"	"de"
598	104	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Grin, Jean-Pierre"	"NR"	"VD"	"SVP"	"V"	"APF-V, ERD-V, FK-NR"	2007-12-03		"M"	1947-03-16	3885	2688	"fr"	"fr"
353	104	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Grin, Jean-Pierre"	"NR"	"VD"	"SVP"	"V"	"APF-V, ERD-V, FK-NR"	2007-12-03		"M"	1947-03-16	3885	2688	"fr"	"fr"
100	104	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Grin, Jean-Pierre"	"NR"	"VD"	"SVP"	"V"	"APF-V, ERD-V, FK-NR"	2007-12-03		"M"	1947-03-16	3885	2688	"fr"	"fr"
599	106	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Grossen, Jürg"	"NR"	"BE"	"GLP"	"GL"	"WAK-NR"	2011-12-05		"M"	1969-08-24	4083	2786	"de"	"de"
354	106	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Grossen, Jürg"	"NR"	"BE"	"GLP"	"GL"	"WAK-NR"	2011-12-05		"M"	1969-08-24	4083	2786	"de"	"de"
101	106	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Grossen, Jürg"	"NR"	"BE"	"GLP"	"GL"	"WAK-NR"	2011-12-05		"M"	1969-08-24	4083	2786	"de"	"de"
601	285	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Grüter, Franz"	"NR"	"LU"	"SVP"	"V"	"APK-NR"	2015-11-30		"M"	1963-07-29	4162	3076	"de"	"de"
356	285	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Grüter, Franz"	"NR"	"LU"	"SVP"	"V"	"APK-NR"	2015-11-30		"M"	1963-07-29	4162	3076	"de"	"de"
103	285	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Grüter, Franz"	"NR"	"LU"	"SVP"	"V"	"APK-NR"	2015-11-30		"M"	1963-07-29	4162	3076	"de"	"de"
602	108	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Gschwind, Jean-Paul"	"NR"	"JU"	"CVP"	"M-CEB"	"FinDel-V, FK-NR"	2011-12-05		"M"	1952-10-31	4087	2798	"fr"	"fr"
357	108	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Gschwind, Jean-Paul"	"NR"	"JU"	"CVP"	"M-CEB"	"FinDel-V, FK-NR"	2011-12-05		"M"	1952-10-31	4087	2798	"fr"	"fr"
104	108	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Gschwind, Jean-Paul"	"NR"	"JU"	"CVP"	"M-CEB"	"FinDel-V, FK-NR"	2011-12-05		"M"	1952-10-31	4087	2798	"fr"	"fr"
603	327	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Gugger, Niklaus-Samuel"	"NR"	"ZH"	"EVP"	"M-CEB"	"APK-NR, ERD-V"	2017-11-27		"M"	1970-05-01	4214	3115	"de"	"de"
358	327	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Gugger, Niklaus-Samuel"	"NR"	"ZH"	"EVP"	"M-CEB"	"APK-NR, ERD-V"	2017-11-27		"M"	1970-05-01	4214	3115	"de"	"de"
605	328	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Gutjahr, Diana"	"NR"	"TG"	"SVP"	"V"	"WBK-NR"	2017-11-27		"F"	1984-01-13	4216	3117	"de"	"de"
360	328	2018-11-19	1	"teilweise"	2019-12-24T16:13:05	"Gutjahr, Diana"	"NR"	"TG"	"SVP"	"V"	"WBK-NR"	2017-11-27		"F"	1984-01-13	4216	3117	"de"	"de"
606	110	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Gysi, Barbara"	"NR"	"SG"	"SP"	"S"	"FK-NR, SGK-NR"	2011-12-12		"F"	1964-05-14	4121	3026	"de"	"de"
361	110	2018-11-19	1	"ja"	2019-12-24T16:13:05	"Gysi, Barbara"	"NR"	"SG"	"SP"	"S"	"FK-NR, SGK-NR"	2011-12-12		"F"	1964-05-14	4121	3026	"de"	"de"
107	110	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Gysi, Barbara"	"NR"	"SG"	"SP"	"S"	"FK-NR, SGK-NR"	2011-12-12		"F"	1964-05-14	4121	3026	"de"	"de"
1090	396	2020-12-31	1	"ja"	2020-01-16T12:42:29	"Gysin, Greta"	"NR"	"TI"	"GPS"	"G"	"BeK-V, Del I-V, RedK-V, SPK-NR"	2019-10-20		"F"	1983-10-06	4268	3160	"it"	"de"
844	396	2020-01-30	1	"ja"	2020-01-16T12:42:29	"Gysin, Greta"	"NR"	"TI"	"GPS"	"G"	"BeK-V, Del I-V, RedK-V, SPK-NR"	2019-10-20		"F"	1983-10-06	4268	3160	"it"	"de"
607	343	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Haab, Martin"	"NR"	"ZH"	"SVP"	"V"	"Del A-V, WBK-NR"	2019-06-03		"M"	1962-05-03	4236	3134	"de"	"de"
608	228	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Häberli-Koller, Brigitte"	"SR"	"TG"	"CVP"	"M-CEB"	"Bü-SR, Del A-V, Del FL-V, KVF-SR, SGK-SR, SiK-SR, VD, WBK-SR"	2003-12-01		"F"	1958-08-23	1106	2600	"de"	"de"
362	228	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Häberli-Koller, Brigitte"	"SR"	"TG"	"CVP"	"M-CEB"	"Bü-SR, Del A-V, Del FL-V, KVF-SR, SGK-SR, SiK-SR, VD, WBK-SR"	2003-12-01		"F"	1958-08-23	1106	2600	"de"	"de"
108	228	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Häberli-Koller, Brigitte"	"SR"	"TG"	"CVP"	"M-CEB"	"Bü-SR, Del A-V, Del FL-V, KVF-SR, SGK-SR, SiK-SR, VD, WBK-SR"	2003-12-01		"F"	1958-08-23	1106	2600	"de"	"de"
613	116	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Heer, Alfred"	"NR"	"ZH"	"SVP"	"V"	"ERD-V, GPDel-V, GPK-NR"	2007-12-03		"M"	1961-10-12	3887	2690	"de"	"de"
367	116	2018-11-19	1	"teilweise"	2019-12-24T16:13:05	"Heer, Alfred"	"NR"	"ZH"	"SVP"	"V"	"ERD-V, GPDel-V, GPK-NR"	2007-12-03		"M"	1961-10-12	3887	2690	"de"	"de"
114	116	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Heer, Alfred"	"NR"	"ZH"	"SVP"	"V"	"ERD-V, GPDel-V, GPK-NR"	2007-12-03		"M"	1961-10-12	3887	2690	"de"	"de"
614	230	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Hefti, Thomas"	"SR"	"GL"	"FDP"	"RL"	"Bü-SR, Bü-VBV-V, FinDel-V, FK-SR, RK-SR, SPK-SR, VD"	2014-03-03		"M"	1959-10-30	4139	3041	"de"	"de"
368	230	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Hefti, Thomas"	"SR"	"GL"	"FDP"	"RL"	"Bü-SR, Bü-VBV-V, FinDel-V, FK-SR, RK-SR, SPK-SR, VD"	2014-03-03		"M"	1959-10-30	4139	3041	"de"	"de"
115	230	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Hefti, Thomas"	"SR"	"GL"	"FDP"	"RL"	"Bü-SR, Bü-VBV-V, FinDel-V, FK-SR, RK-SR, SPK-SR, VD"	2014-03-03		"M"	1959-10-30	4139	3041	"de"	"de"
615	317	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Hegglin, Peter"	"SR"	"ZG"	"CVP"	"M-CEB"	"FinDel-V, FK-SR, SGK-SR, WAK-SR"	2015-11-30		"M"	1960-12-25	4153	3053	"de"	"de"
369	317	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Hegglin, Peter"	"SR"	"ZG"	"CVP"	"M-CEB"	"FinDel-V, FK-SR, SGK-SR, WAK-SR"	2015-11-30		"M"	1960-12-25	4153	3053	"de"	"de"
116	317	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Hegglin, Peter"	"SR"	"ZG"	"CVP"	"M-CEB"	"FinDel-V, FK-SR, SGK-SR, WAK-SR"	2015-11-30		"M"	1960-12-25	4153	3053	"de"	"de"
617	117	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Herzog, Verena"	"NR"	"TG"	"SVP"	"V"	"SGK-NR, WBK-NR"	2013-03-04		"F"	1956-02-07	4129	3033	"de"	"de"
371	117	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Herzog, Verena"	"NR"	"TG"	"SVP"	"V"	"SGK-NR, WBK-NR"	2013-03-04		"F"	1956-02-07	4129	3033	"de"	"de"
118	117	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Herzog, Verena"	"NR"	"TG"	"SVP"	"V"	"SGK-NR, WBK-NR"	2013-03-04		"F"	1956-02-07	4129	3033	"de"	"de"
618	287	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Hess, Erich"	"NR"	"BE"	"SVP"	"V"	"BeK-V, GPK-NR, SiK-NR"	2015-11-30		"M"	1981-03-25	4163	3078	"de"	"de"
372	287	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Hess, Erich"	"NR"	"BE"	"SVP"	"V"	"BeK-V, GPK-NR, SiK-NR"	2015-11-30		"M"	1981-03-25	4163	3078	"de"	"de"
119	287	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Hess, Erich"	"NR"	"BE"	"SVP"	"V"	"BeK-V, GPK-NR, SiK-NR"	2015-11-30		"M"	1981-03-25	4163	3078	"de"	"de"
619	11	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Hess, Lorenz"	"NR"	"BE"	"BDP"	"M-CEB"	"GK-V, SGK-NR"	2011-12-05		"M"	1961-06-28	4094	2799	"de"	"de"
373	11	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Hess, Lorenz"	"NR"	"BE"	"BDP"	"M-CEB"	"GK-V, SGK-NR"	2011-12-05		"M"	1961-06-28	4094	2799	"de"	"de"
121	11	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Hess, Lorenz"	"NR"	"BE"	"BDP"	"M-CEB"	"GK-V, SGK-NR"	2011-12-05		"M"	1961-06-28	4094	2799	"de"	"de"
622	12	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Humbel, Ruth"	"NR"	"AG"	"CVP"	"M-CEB"	"BeK-V, SGK-NR"	2003-09-15		"F"	1957-07-23	1071	2580	"de"	"de"
376	12	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Humbel, Ruth"	"NR"	"AG"	"CVP"	"M-CEB"	"BeK-V, SGK-NR"	2003-09-15		"F"	1957-07-23	1071	2580	"de"	"de"
124	12	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Humbel, Ruth"	"NR"	"AG"	"CVP"	"M-CEB"	"BeK-V, SGK-NR"	2003-09-15		"F"	1957-07-23	1071	2580	"de"	"de"
623	120	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Hurter, Thomas"	"NR"	"SH"	"SVP"	"V"	"IPU, KVF-NR, SiK-NR"	2007-12-03		"M"	1963-11-01	3890	2693	"de"	"de"
377	120	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Hurter, Thomas"	"NR"	"SH"	"SVP"	"V"	"IPU, KVF-NR, SiK-NR"	2007-12-03		"M"	1963-11-01	3890	2693	"de"	"de"
125	120	2017-05-27	1	"ja"	2019-12-24T16:13:39	"Hurter, Thomas"	"NR"	"SH"	"SVP"	"V"	"IPU, KVF-NR, SiK-NR"	2007-12-03		"M"	1963-11-01	3890	2693	"de"	"de"
624	289	2019-09-23	1	"nein"	2019-12-24T16:11:58	"Imark, Christian"	"NR"	"SO"	"SVP"	"V"	"GPK-NR, UREK-NR"	2015-11-30		"M"	1982-01-29	4164	3080	"de"	"de"
378	289	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Imark, Christian"	"NR"	"SO"	"SVP"	"V"	"GPK-NR, UREK-NR"	2015-11-30		"M"	1982-01-29	4164	3080	"de"	"de"
126	289	2017-05-27	1	"nein"	2019-12-24T16:13:39	"Imark, Christian"	"NR"	"SO"	"SVP"	"V"	"GPK-NR, UREK-NR"	2015-11-30		"M"	1982-01-29	4164	3080	"de"	"de"
626	122	2019-09-23	1	"ja"	2019-12-24T16:11:58	"Jans, Beat"	"NR"	"BS"	"SP"	"S"	"UREK-NR"	2010-05-31		"M"	1964-07-12	4032	2745	"de"	"de"
380	122	2018-11-19	1	"nein"	2019-12-24T16:13:05	"Jans, Beat"	"NR"	"BS"	"SP"	"S"	"UREK-NR"	2010-05-31		"M"	1964-07-12	4032	2745	"de"	"de"
