Datum,Aktenzeichen
22.05.2012,9C_385/2012
12.08.2008,9C_270/2008
18.02.2014,4A_9/2014
03.03.2010,1F_4/2010
15.12.2009,5A_553/2009
20.03.2008,2D_17/2008
10.04.2008,4A_117/2008
24.09.2007,9C_361/2007
03.09.2014,8C_327/2014
02.06.2008,8C_534/2007
08.12.2016,1C_616/2015
17.05.2011,5A_333/2011
18.03.2016,5A_868/2015
25.04.2008,8C_535/2007
09.12.2016,6B_917/2016
09.02.2010,8F_14/2009
02.07.2008,2C_620/2007
27.10.2008,2D_84/2008
12.12.2011,5D_197/2011
13.05.2008,6B_510/2007
08.11.2007,2C_375/2007
06.12.2007,5A_160/2007
30.05.2008,6B_776/2007
22.02.2012,1C_80/2012
23.11.2015,2C_980/2015
26.02.2008,5D_17/2008
16.12.2016,6B_79/2016
07.12.2009,6B_1034/2009
25.04.2008,5A_216/2008
24.06.2011,2C_533/2011
12.02.2008,4A_481/2007
04.08.2008,8C_347/2007
13.10.2010,4A_362/2010
28.08.2008,6B_541/2008
20.05.2008,2C_324/2008
18.02.2014,8C_347/2013
04.08.2008,8C_346/2007
11.02.2010,4A_575/2009
02.07.2007,5A_247/2007
26.02.2009,4A_591/2008
10.03.2011,8C_114/2011
23.09.2008,2C_671/2008
09.02.2016,2C_92/2016
24.03.2014,5A_192/2014
28.03.2012,9C_925/2011
08.04.2009,9C_598/2008
12.05.2015,5A_382/2015
28.06.2013,2C_594/2013
06.10.2015,6G_2/2015
18.03.2008,6B_558/2007
30.09.2013,1C_229/2013
22.11.2012,1B_663/2012
07.12.2015,1B_284/2015
29.02.2012,9C_138/2012
20.04.2016,2C_321/2016
18.04.2007,4C.35/2007
26.10.2009,9C_877/2009
25.05.2010,1B_164/2010
22.10.2010,4A_559/2010
26.07.2012,2C_723/2012
19.07.2011,9C_512/2011
31.01.2012,2C_1010/2011
27.04.2015,6B_308/2015
23.04.2012,1B_53/2012
13.12.2011,2C_1011/2011
27.04.2015,1F_12/2015
09.02.2009,2C_46/2009
04.02.2014,4D_81/2013
06.05.2014,8C_253/2014
11.11.2009,5A_640/2009
19.08.2009,5A_426/2009
25.02.2016,6B_39/2016
16.03.2010,6F_23/2009
30.08.2007,1B_181/2007
12.04.2010,4A_449/2009
01.06.2010,1B_150/2010
12.11.2007,2F_8/2007
15.11.2007,4A_426/2007
08.02.2007,1P.574/2006
17.06.2009,9C_440/2009
27.03.2013,1C_172/2013
09.11.2015,5A_886/2015
04.03.2011,6B_104/2011
14.02.2012,1C_412/2011
05.09.2008,6B_575/2008
17.10.2014,9C_648/2013
02.07.2012,4A_31/2012
29.11.2011,1C_146/2011
07.07.2011,6B_8/2011
08.02.2012,4A_30/2012
24.10.2012,1B_390/2012
29.03.2010,5A_824/2009
11.09.2015,2C_131/2015
19.12.2016,1B_458/2016
13.09.2012,1B_479/2012
17.08.2011,6B_964/2010
15.03.2010,5A_184/2010
10.01.2011,2C_391/2010
17.04.2012,9C_145/2012
30.04.2008,1B_75/2008
30.03.2008,6B_161/2008
24.02.2016,5A_149/2016
14.12.2016,1B_381/2016
29.01.2009,1C_345/2008
15.06.2011,1B_200/2011
16.04.2008,5A_223/2008
08.12.2016,6B_1160/2016
16.12.2014,1B_386/2014
08.12.2016,4D_70/2016
30.04.2015,6B_126/2015
09.12.2016,8C_197/2016
24.11.2007,6B_743/2007
18.01.2011,2C_55/2011
05.08.2016,6B_833/2016
22.01.2008,2C_340/2007
28.07.2010,4A_285/2010
15.05.2012,1C_223/2012
14.02.2012,2C_150/2012
13.02.2008,5A_76/2008
29.05.2009,9C_576/2008
15.01.2010,2C_23/2010
26.04.2010,2F_2/2010
20.07.2010,6B_567/2010
09.06.2011,8C_295/2011
10.09.2012,9C_519/2012
29.06.2012,9C_518/2012
24.03.2011,1B_58/2011
23.03.2009,4D_35/2009
27.08.2012,5A_611/2012
04.01.2016,4A_656/2015
14.05.2008,9C_244/2008
12.10.2013,8C_592/2013
17.02.2011,8C_1055/2010
07.11.2007,2C_404/2007
20.04.2015,2C_261/2015
13.03.2015,5A_212/2015
14.12.2012,2C_687/2012
05.03.2007,5A_18/2007
09.08.2011,4F_16/2011
18.07.2008,6B_443/2008
26.10.2009,4A_477/2009
03.07.2014,4A_303/2014
21.01.2016,1C_447/2015
12.05.2015,4A_113/2015
09.12.2016,5D_201/2016
09.10.2008,9C_87/2008
16.10.2007,6B_368/2007
23.04.2012,2C_340/2012
24.02.2014,1B_32/2014
09.12.2016,1B_455/2016
16.06.2014,9C_676/2013
17.08.2010,6B_59/2010
27.03.2014,6B_951/2013
28.05.2008,2D_54/2008
14.12.2016,9C_829/2016
07.07.2008,2D_55/2008
08.06.2010,1C_261/2010
18.03.2008,6B_184/2008
16.12.2016,8C_680/2016
26.09.2011,9C_703/2011
