Datum,Aktenzeichen
08.12.2016,5A_942/2016
20.10.2011,8C_720/2011
21.12.2007,6B_731/2007
05.09.2013,1C_226/2013
03.09.2014,4A_306/2014
02.07.2007,4A_148/2007
29.05.2015,5D_17/2015
04.05.2015,6B_1252/2014
28.04.2008,8C_715/2007
05.09.2013,2C_13/2013
13.11.2007,1A.65/2007
02.08.2012,5A_496/2012
12.09.2014,1C_395/2014
28.08.2008,5A_562/2008
14.12.2016,6B_203/2016
26.05.2008,4D_30/2008
15.12.2016,4A_675/2016
12.12.2011,1B_540/2011
03.09.2014,1C_394/2014
05.09.2008,5A_423/2008
22.10.2013,8C_654/2013
02.10.2008,5A_422/2008
16.07.2007,4A_193/2007
20.12.2010,5A_478/2010
04.11.2016,5A_824/2016
21.02.2012,2C_688/2011
21.01.2010,2C_18/2010
02.10.2007,5A_533/2007
13.05.2013,1C_454/2013
21.01.2010,2C_19/2010
28.05.2013,1B_56/2013
21.01.2010,1C_29/2010
03.12.2012,2C_658/2012
18.02.2009,8C_1034/2008
19.03.2014,5A_228/2014
25.02.2008,6B_671/2007
06.11.2012,1C_72/2008
23.04.2012,8C_896/2011
26.02.2008,1C_101/2007
20.12.2008,6B_997/2008
19.08.2016,1F_22/2016
12.06.2014,5A_480/2014
13.02.2008,9C_732/2007
15.04.2008,6B_815/2007
04.12.2014,5D_185/2014
02.06.2008,8C_282/2008
23.02.2009,1F_26/2008
26.10.2012,1B_625/2012
22.11.2010,2C_808/2010
12.12.2011,5A_669/2011
02.10.2009,1B_260/2009
08.09.2010,1C_324/2010
13.12.2011,6B_779/2011
23.06.2008,6B_309/2008
16.02.2010,6B_135/2010
06.09.2016,2D_29/2016
14.08.2009,9C_494/2009
02.04.2012,6B_86/2012
09.04.2015,9C_8/2015
14.01.2008,4A_3/2008
29.03.2007,2A.29/2007
28.06.2016,2C_460/2016
30.09.2015,6B_781/2015
22.03.2012,6B_101/2012
09.08.2012,5A_570/2012
16.08.2012,2C_765/2012
30.08.2012,6B_814/2011
06.12.2012,1C_416/2012
26.10.2011,9C_732/2011
08.02.2010,9C_89/2009
06.06.2014,2C_366/2014
04.07.2013,1C_607/2013
04.11.2016,2C_862/2016
10.02.2015,5A_105/2015
20.01.2009,5D_180/2008
23.12.2009,5A_862/2009
29.11.2012,1B_719/2012
15.02.2010,2C_811/2009
26.02.2008,5A_78/2008
22.09.2014,8C_661/2013
05.05.2008,8C_406/2007
04.12.2009,5D_165/2009
10.09.2012,6B_192/2012
03.03.2011,6B_1023/2010
12.03.2012,5D_4/2012
29.06.2012,9C_517/2012
17.02.2012,9C_91/2012
20.07.2010,6B_568/2010
20.11.2009,4A_506/2009
05.02.2008,5A_234/2007
08.08.2008,1C_47/2008
02.06.2015,5A_451/2015
01.04.2008,1C_135/2007
27.06.2016,6B_1258/2015
20.05.2010,6B_280/2010
14.12.2016,4A_268/2016
09.03.2016,5A_35/2016
14.02.2008,5A_113/2007
20.05.2010,8C_158/2010
05.05.2015,1B_143/2015
30.10.2009,9C_547/2009
06.07.2011,2C_12/2011
19.07.2012,5A_539/2012
15.12.2016,6B_470/2016
20.04.2010,9C_721/2009
27.05.2010,4A_250/2010
23.11.2012,2C_1154/2012
17.04.2008,1C_164/2008
13.07.2011,5A_472/2011
07.03.2014,1B_90/2014
16.12.2016,6B_1016/2016
09.03.2007,5C.6/2007
03.10.2007,9C_529/2007
13.11.2007,1C_389/2007
21.05.2008,1B_105/2008
16.04.2009,1C_430/2008
23.07.2008,2C_525/2008
24.10.2012,2C_841/2012
26.11.2012,1B_296/2012
08.12.2016,1C_354/2016
08.12.2016,5D_202/2016
08.12.2016,2C_505/2015
30.10.2007,5P.47/2007
14.09.2012,5A_656/2012
26.11.2012,1C_198/2012
05.05.2010,2C_123/2010
12.10.2016,5A_735/2016
20.11.2008,4A_302/2008
05.03.2008,2C_179/2008
28.12.2015,9C_710/2015
10.02.2014,2C_836/2013
20.06.2011,8C_69/2011
17.06.2009,8C_289/2009
14.08.2008,4A_303/2008
19.07.2012,8C_202/2012
05.07.2010,8C_505/2010
18.03.2013,1C_265/2013
16.08.2010,2C_492/2010
20.10.2011,8C_504/2011
27.02.2014,4A_17/2014
14.11.2013,1C_61/2013
05.02.2014,4A_16/2014
24.08.2007,5A_298/2007
23.06.2008,6B_336/2008
25.05.2010,1B_129/2010
16.03.2015,6B_1210/2014
22.08.2007,5A_431/2007
08.12.2016,6B_230/2016
08.12.2016,4A_687/2016
08.12.2016,4A_612/2016
07.12.2009,4A_539/2009
15.06.2007,1P.93/2007
17.10.2008,4A_374/2008
24.03.2011,1B_68/2011
11.04.2008,4A_112/2008
12.03.2012,2C_27/2012
25.08.2016,1B_310/2016
18.06.2009,6B_473/2009
02.06.2008,6B_45/2008
16.12.2016,2C_1152/2016
19.10.2011,8C_596/2011
10.08.2009,6B_614/2009
27.04.2010,6B_264/2010
07.05.2012,4A_49/2012
29.10.2007,5A_538/2007
03.02.2014,6B_1156/2013
15.12.2016,6B_1009/2016
14.12.2016,1C_455/2016
06.07.2016,8C_865/2015
19.09.2012,1B_541/2012
19.03.2008,5A_46/2008
22.07.2008,9C_406/2008
30.04.2010,4A_192/2010
23.08.2012,9C_75/2012
27.06.2008,8C_469/2008
16.12.2013,9C_516/2013
12.03.2008,6B_118/2008
24.11.2008,5D_165/2008
23.06.2010,6B_484/2010
02.09.2010,5D_92/2010
26.10.2012,2D_34/2012
10.10.2007,5A_571/2007
30.09.2013,2C_502/2013
11.04.2013,1B_122/2013
28.11.2011,1B_443/2011
03.12.2010,4A_455/2010
02.09.2011,5D_149/2011
20.10.2011,1C_422/2011
09.05.2011,1B_117/2011
06.05.2010,5A_308/2010
28.05.2008,2C_321/2008
06.03.2014,2C_218/2014
25.10.2007,1C_325/2007
12.02.2013,1C_569/2012
02.10.2014,5D_154/2014
16.10.2007,5A_242/2007
