,Time,Magnitude,Place,Coordinates,Long,Lat
66,2020-07-17 14:03:40.437,6.1,"239 km E of Port Blair, India","[94.9362, 11.8485, 10]",94.9362,11.8485
67,2020-07-18 15:32:36.835,6.1,"141 km ENE of Hihifo, Tonga","[-172.694, -15.2553, 12]",-172.694,-15.2553
68,2020-07-22 06:16:18.627,6.1,"101 km ESE of Sand Point, Alaska","[-159.0413, 54.969, 16.53]",-159.0413,54.969
69,2020-07-28 08:03:43.215,6.1,"75 km SW of Sand Point, Alaska","[-161.2041, 54.7905, 35.15]",-161.2041,54.7905
70,2020-08-01 19:22:05.198,6.1,"198 km SE of Lorengau, Papua New Guinea","[148.6412, -3.1912, 10]",148.6412,-3.1912
71,2020-08-31 17:24:04.946,6.1,Chagos Archipelago region,"[70.1973, -4.0158, 10]",70.1973,-4.0158
72,2020-09-12 02:44:10.969,6.1,"57 km SE of Ōfunato, Japan","[142.2473, 38.7591, 32.09]",142.2473,38.7591
73,2020-09-26 17:10:22.422,6.1,south of Africa,"[31.7636, -48.0314, 10]",31.7636,-48.0314
74,2020-01-07 19:11:35.665,6.0,"130km ENE of Kimbe, Papua New Guinea","[151.2659, -5.2046, 117]",151.2659,-5.2046
75,2020-01-18 16:38:14.301,6.0,"140km W of Abepura, Indonesia","[139.3363, -2.8405, 44]",139.3363,-2.8405
76,2020-01-19 13:27:56.630,6.0,"86km ENE of Arzak, China","[77.1084, 39.8353, 5.55]",77.1084,39.8353
77,2020-01-29 13:49:49.744,6.0,"70km W of Kirakira, Solomon Islands","[161.2756, -10.418, 85]",161.2756,-10.418
78,2020-02-06 13:40:05.791,6.0,"109km SSE of Pondaguitan, Philippines","[126.5692, 5.4543, 19]",126.5692,5.4543
79,2020-02-08 14:32:58.625,6.0,"113km SSE of Bristol Island, South Sandwich Islands","[-25.5526, -59.9212, 16]",-25.5526,-59.9212
80,2020-02-23 16:00:31.626,6.0,"24km SE of Saray, Turkey","[44.3732, 38.4958, 10]",44.3732,38.4958
81,2020-02-26 07:33:12.952,6.0,"55km NNW of Saumlaki, Indonesia","[131.1196, -7.4887, 54]",131.1196,-7.4887
82,2020-03-06 10:28:42.029,6.0,Southwest Indian Ridge,"[58.3242, -31.368, 10]",58.3242,-31.368
83,2020-03-17 16:06:22.370,6.0,"167km E of Hihifo, Tonga","[-172.1911, -16.0252, 10]",-172.1911,-16.0252
84,2020-04-05 18:37:10.876,6.0,"123km WNW of Kota Ternate, Indonesia","[126.4381, 1.395, 42]",126.4381,1.395
85,2020-04-14 01:06:47.913,6.0,"194km SE of Raoul Island, New Zealand","[-176.3478, -30.3889, 31]",-176.3478,-30.3889
86,2020-05-28 07:18:45.146,6.0,"111 km SSE of ‘Ohonua, Tonga","[-174.4196, -22.2146, 10]",-174.4196,-22.2146
87,2020-06-03 09:31:35.257,6.0,south of the Fiji Islands,"[-176.7113, -24.6746, 69.85]",-176.7113,-24.6746
88,2020-06-10 19:58:50.008,6.0,southern Mid-Atlantic Ridge,"[-13.0363, -15.8069, 10]",-13.0363,-15.8069
89,2020-06-21 19:07:54.833,6.0,"27 km NNE of Siglufjörður, Iceland","[-18.707, 66.381, 10]",-18.707,66.381
90,2020-06-23 07:43:29.219,6.0,"97 km SE of Gorontalo, Indonesia","[123.7866, 0.0368, 109]",123.7866,0.0368
91,2020-07-21 20:56:25.167,6.0,Fiji region,"[-178.6325, -20.8045, 605.2]",-178.6325,-20.8045
92,2020-08-12 17:13:16.180,6.0,"66 km NNE of Kilindoni, Tanzania","[39.8126, -7.3327, 17.55]",39.8126,-7.3327
93,2020-08-22 08:38:01.742,6.0,"178 km ENE of Georgetown, Saint Helena","[-12.9718, -7.1843, 10]",-12.9718,-7.1843
94,2020-08-24 21:51:09.259,6.0,"4 km SSW of Jacó, Costa Rica","[-84.6376, 9.5785, 20]",-84.6376,9.5785
95,2020-08-25 19:02:58.428,6.0,"141 km SSW of Kokopo, Papua New Guinea","[151.8642, -5.5603, 23]",151.8642,-5.5603
96,2020-09-07 06:12:40.093,6.0,"73 km NNE of Port-Vila, Vanuatu","[168.476, -17.0893, 10]",168.476,-17.0893
97,2020-09-15 04:12:16.407,6.0,"160 km NNE of Labasa, Fiji","[179.9438, -15.093, 10]",179.9438,-15.093
98,2020-01-05 04:40:49.332,5.9,"4km N of Ixhuatan, Mexico","[-94.489, 16.4011, 87]",-94.489,16.4011
99,2020-01-11 12:54:45.910,5.9,"10km SSE of Indios, Puerto Rico","[-66.8508, 17.949, 5]",-66.8508,17.949
