,Politician,Google Search Results
88,Ruth Humbel Ständerat,Ungefähr 14’900 Ergebnisse (0.39 Sekunden) 
89,Baptiste Hurni Ständerat,Ungefähr 1’320 Ergebnisse (0.39 Sekunden) 
90,Thomas Hurter Ständerat,Ungefähr 11’100 Ergebnisse (0.33 Sekunden) 
91,Christian Imark Ständerat,Ungefähr 8’210 Ergebnisse (0.34 Sekunden) 
92,Beat Jans Ständerat,Ungefähr 14’500 Ergebnisse (0.36 Sekunden) 
93,Matthias Samuel Jauslin Ständerat,Ungefähr 5’110 Ergebnisse (0.34 Sekunden) 
94,Irène Kälin Ständerat,Ungefähr 9’110 Ergebnisse (0.39 Sekunden) 
95,Sidney Kamerzin Ständerat,Ungefähr 1’980 Ergebnisse (0.38 Sekunden) 
96,Peter Keller Ständerat,Ungefähr 102’000 Ergebnisse (0.39 Sekunden) 
97,Delphine Klopfenstein Broggini Ständerat,Ungefähr 1’200 Ergebnisse (0.34 Sekunden) 
98,Roger Köppel Ständerat,Ungefähr 24’500 Ergebnisse (0.50 Sekunden) 
99,Philipp Kutter Ständerat,Ungefähr 3’320 Ergebnisse (0.38 Sekunden) 
100,Martin Landolt Ständerat,Ungefähr 18’100 Ergebnisse (0.38 Sekunden) 
101,Sandra Locher Benguerel Ständerat,Ungefähr 3’030 Ergebnisse (0.35 Sekunden) 
102,Christian Lohr Ständerat,Ungefähr 6’010 Ergebnisse (0.41 Sekunden) 
103,Christian Lüscher Ständerat,Ungefähr 12’600 Ergebnisse (0.58 Sekunden) 
104,Jörg Mäder Ständerat,Ungefähr 8’700 Ergebnisse (0.48 Sekunden) 
105,Pierre-Yves Maillard Ständerat,Ungefähr 17’900 Ergebnisse (0.32 Sekunden) 
106,Vincent Maitre Ständerat,Ungefähr 2’200 Ergebnisse (0.34 Sekunden) 
107,Piero Marchesi Ständerat,Ungefähr 2’290 Ergebnisse (0.34 Sekunden) 
108,Christa Markwalder Ständerat,Ungefähr 14’500 Ergebnisse (0.46 Sekunden) 
109,Ada Marra Ständerat,Ungefähr 5’250 Ergebnisse (0.42 Sekunden) 
110,Min Li Marti Ständerat,Ungefähr 11’900 Ergebnisse (0.36 Sekunden) 
111,Samira Marti Ständerat,Ungefähr 6’250 Ergebnisse (0.35 Sekunden) 
112,Magdalena Martullo-Blocher Ständerat,Ungefähr 12’400 Ergebnisse (0.44 Sekunden) 
113,Nadine Masshardt Ständerat,Ungefähr 7’330 Ergebnisse (0.38 Sekunden) 
114,Thomas Matter Ständerat,Ungefähr 28’500 Ergebnisse (0.48 Sekunden) 
115,Michel Matter Ständerat,Ungefähr 18’000 Ergebnisse (0.35 Sekunden) 
116,Melanie Mettler Ständerat,Ungefähr 6’120 Ergebnisse (0.46 Sekunden) 
117,Mattea Meyer Ständerat,Ungefähr 7’830 Ergebnisse (0.38 Sekunden) 
118,Sophie Michaud Gigon Ständerat,Ungefähr 1’680 Ergebnisse (0.47 Sekunden) 
119,Fabian Molina Ständerat,Ungefähr 8’170 Ergebnisse (0.43 Sekunden) 
120,Isabelle Moret Ständerat,Ungefähr 10’600 Ergebnisse (0.30 Sekunden) 
121,Tiana Angelina Moser Ständerat,Ungefähr 9’250 Ergebnisse (0.42 Sekunden) 
122,Leo Müller Ständerat,Ungefähr 30’800 Ergebnisse (0.35 Sekunden) 
123,Stefan Müller-Altermatt Ständerat,Ungefähr 9’840 Ergebnisse (0.35 Sekunden) 
124,Martina Munz Ständerat,Ungefähr 7’370 Ergebnisse (0.37 Sekunden) 
125,Philippe Nantermod Ständerat,Ungefähr 6’570 Ergebnisse (0.46 Sekunden) 
126,Jacques Nicolet Ständerat,Ungefähr 4’150 Ergebnisse (0.41 Sekunden) 
127,Yves Nidegger Ständerat,Ungefähr 10’200 Ergebnisse (0.42 Sekunden) 
128,Roger Nordmann Ständerat,Ungefähr 9’880 Ergebnisse (0.41 Sekunden) 
