,Type,Mag,Place,Time
105,earthquake,1.87,"24km SW of Ocotillo Wells, CA",1599918017610
106,earthquake,1.35,"5km SSE of Brawley, CA",1599897150460
107,earthquake,1.4,"33km W of La Jolla, CA",1599882689330
108,earthquake,2.47,"7km SW of Alberto Oviedo Mota, B.C., MX",1599835667890
109,earthquake,1.18,"16km WNW of Imperial, CA",1599781573760
110,earthquake,4.4,"4 km ENE of Rizo de Oro, Mexico",1599742063486
111,earthquake,0.75,"23km NW of Ocotillo, CA",1599721967130
112,earthquake,1.03,"26km SSW of Ocotillo Wells, CA",1599713470190
113,earthquake,3.1,"57 km S of Whites City, New Mexico",1599708565594
114,earthquake,0.63,"16km WSW of Westmorland, CA",1599692031150
115,earthquake,2.3,"90km ESE of Maneadero, B.C., MX",1599684311610
116,quarry blast,0.8,"7km NNW of La Mesa, CA",1599681754710
117,earthquake,2.4,"17 km NE of Hermleigh, Texas",1599668749700
118,earthquake,4.3,"2 km NE of Tejutla, Guatemala",1599652776621
119,earthquake,0.98,"22km NW of Ocotillo, CA",1599643842360
120,earthquake,4.4,"23 km SSW of El Coyul, Mexico",1599643004319
121,earthquake,2.33,"90km SSW of Alberto Oviedo Mota, B.C., MX",1599616064740
122,earthquake,1.79,"39km WSW of Carlsbad, CA",1599586602610
123,earthquake,1.45,"9km WNW of Holtville, CA",1599546060840
124,earthquake,1.5,"3km SSW of Heber, CA",1599543229410
125,earthquake,4.2,"89 km N of Colonia Emiliano Zapata, Mexico",1599529200190
126,earthquake,1.28,"21km E of Ocotillo, CA",1599521256500
127,earthquake,2.7,"59 km S of Whites City, New Mexico",1599497343814
128,earthquake,2.7,"48 km NW of Toyah, Texas",1599441539524
129,earthquake,3.0,"49 km NW of Toyah, Texas",1599441360035
130,earthquake,2.7,"57 km S of Whites City, New Mexico",1599426828266
131,earthquake,2.16,"71km WSW of Alberto Oviedo Mota, B.C., MX",1599405396120
132,earthquake,2.8,"55 km S of Whites City, New Mexico",1599393852121
133,earthquake,1.93,"32km NE of Ensenada, B.C., MX",1599380878980
134,earthquake,1.13,"24km SW of Ocotillo Wells, CA",1599379806650
135,earthquake,1.01,"23km NW of Ocotillo, CA",1599347737870
136,earthquake,2.6,"47 km W of Mentone, Texas",1599315193970
137,earthquake,2.8,"13 km WSW of Falls City, Texas",1599295729559
138,earthquake,2.6,"12 km WSW of Falls City, Texas",1599274208722
139,earthquake,2.6,"10 km W of Falls City, Texas",1599270480979
140,earthquake,2.7,"51 km NW of Toyah, Texas",1599252131364
141,earthquake,2.9,"60 km S of Whites City, New Mexico",1599226018183
142,earthquake,2.6,"57 km ENE of San Vicente, Mexico",1599188312570
143,earthquake,1.33,"23km NW of Ocotillo, CA",1599166946370
144,earthquake,1.8,western Florida,1599157074795
145,earthquake,1.51,"8km SW of Progreso, B.C., MX",1599154643560
146,earthquake,2.64,"90km ESE of Maneadero, B.C., MX",1599154584140
147,earthquake,2.5,"54 km S of Whites City, New Mexico",1599149118226
148,earthquake,3.8,"0 km WSW of Pollard, Alabama",1599145673144
149,earthquake,1.25,"23km NW of Ocotillo, CA",1599141992190
150,earthquake,2.06,"7km W of Progreso, B.C., MX",1599140807770
151,earthquake,4.2,"176 km SW of Emiliano Zapata, Mexico",1599137193519
152,earthquake,0.55,"12km WSW of El Centro, CA",1599131784500
153,earthquake,0.8,"22km NW of Ocotillo, CA",1599131077010
154,earthquake,2.79,"88km ESE of Maneadero, B.C., MX",1599128258000
155,earthquake,1.64,"23km NW of Ocotillo, CA",1599127849470
156,earthquake,3.0,"48 km W of Mentone, Texas",1599105147111
157,earthquake,3.4,"20 km ENE of La Paz, Mexico",1599101122760
158,earthquake,2.8,"47 km W of Mentone, Texas",1599055998582
159,earthquake,1.59,"1km NW of El Centro, CA",1599025263590
160,earthquake,2.5,"47 km W of Mentone, Texas",1599023915195
161,earthquake,3.1,"45 km W of Mentone, Texas",1599022369510
162,earthquake,3.3,"47 km W of Mentone, Texas",1599022306611
163,earthquake,1.27,"16km E of Ocotillo, CA",1599011478030
164,quarry blast,1.28,"4km ENE of Rancho San Diego, CA",1598986836650
165,earthquake,3.3,"61 km E of San Vicente, Mexico",1598946093826
