Date,ID,URL,Valid Phish
May 26 2017 7:29 AM,5021629,http://www.sofuogluinsaat.com/v2index.php,Unknown
May 26 2017 7:29 AM,5021628,http://www.sofuogluinsaat.com/log12.php,VALID PHISH
May 26 2017 7:21 AM,5021623,http://samiratoosi.com/support/,Unknown
May 26 2017 7:20 AM,5021622,http://www.pakietyreklamowe.pl/zaslepka/pl/cgl-bin/isp/...,Unknown
May 25 2017 7:06 PM,5020352,http://www.rbhh-specialistcare.co.uk/wp-content/themes/mail.unifr.ch.h...,VALID PHISH
May 25 2017 7:06 PM,5020350,http://wcitycablech.weebly.com/,Unknown
May 25 2017 7:06 PM,5020349,http://lanouvellecouverture.weebly.com/,Unknown
May 25 2017 7:05 PM,5020348,http://secureid.accountbank.https.secure.activate.link.support.certifi...,Unknown
May 25 2017 7:05 PM,5020347,http://secureid.accountbank.https.secure.activate.link.support.certifi...,Unknown
May 25 2017 7:02 PM,5020339,http://radyomar.com.tr/zox/crypt/index.html,VALID PHISH
May 25 2017 10:32 AM,5019464,http://verify.paypal.ch.inexulix.info/ir/myaccount/signin/?country.x=&...,Unknown
May 25 2017 10:32 AM,5019463,http://verify.paypal.ch.inexulix.info/ir/,Unknown
May 25 2017 5:22 AM,5018911,http://noplerycollection.weebly.com/,Unknown
May 24 2017 6:15 PM,5018027,http://paypal.ch.einlogen.ex-mastic.net/inc/Update/myaccount/signin/?c...,VALID PHISH
May 24 2017 6:15 PM,5018026,http://paypal.ch.einlogen.ex-mastic.net/inc/Update/...,Unknown
May 24 2017 11:10 AM,5017488,http://library.ethz.ch.libv.ga/idp/profile/SAML2/POST/SSO.execution/...,Unknown
May 24 2017 9:52 AM,5017216,http://125-serveur.webnode.com/,Unknown
May 24 2017 9:50 AM,5017215,https://serviceunitupgrade.ucraft.me/,Unknown
May 24 2017 6:31 AM,5017044,http://www.peopleonair.com/ch/swissbank/worksbench/clientele-prive/Wor...,Unknown
May 24 2017 6:31 AM,5017043,http://www.peopleonair.com/ch/swissbank/worksbench/clientele-prive/Wor...,VALID PHISH
May 24 2017 5:25 AM,5016892,https://forexonline.click/wp-content/themes/teenz/languages/de_DE_mo/l...,VALID PHISH
May 24 2017 5:25 AM,5016891,https://forexonline.click/wp-content/themes/teenz/languages/de_DE_mo/l...,Unknown
May 24 2017 5:23 AM,5016887,http://www.constructoragam.cl/wp-content/plugins/js_composer/assets/js...,VALID PHISH
May 24 2017 5:20 AM,5016885,http://paypal.ch.enlog.webscr-inc.net/ch/Update/...,VALID PHISH
May 24 2017 5:09 AM,5016883,http://maturefreeandsingle.com/sic/,Unknown
May 24 2017 5:03 AM,5016829,http://www.primo-gmbh.de/wp-content/ppl/,Unknown
May 23 2017 3:44 PM,5015594,https://clients.ncrypted.net/clients/schritt1/survey.html?ssl=yes...,VALID PHISH
May 23 2017 3:44 PM,5015593,https://clients.ncrypted.net/clients/schritt1/...,VALID PHISH
May 23 2017 3:24 PM,5015547,http://ihre.whatsapp-messenger.com-konto.svg-group.com/ssl/...,VALID PHISH
May 23 2017 3:24 PM,5015546,https://server02.hostngon.vn/~thietkew/w/,VALID PHISH
May 23 2017 11:56 AM,5015203,http://tyyr.sitey.me/,Unknown
May 23 2017 11:55 AM,5015202,http://nouvelleversiondescomp.weebly.com/,VALID PHISH
May 23 2017 11:54 AM,5015201,http://icx.myfreesites.net/,Unknown
May 23 2017 9:33 AM,5015015,http://cogecoqh.beget.tech/_/,Unknown
May 23 2017 9:17 AM,5014996,http://www.sitecreation.co.za/IncludeS/DomiT/e10adc5949tcy4hiee56e057f...,Unknown
May 23 2017 9:16 AM,5014995,http://www.balademusicale-rixensart.be/ch/,Unknown
May 23 2017 9:16 AM,5014994,http://sssetting07.myfreesites.net/,Unknown
May 23 2017 8:25 AM,5014853,http://oxigas.com.br/__/,Unknown
May 22 2017 5:36 PM,5013396,https://ghosthound.com/xxcvbcs/,Unknown
Mar 28 2017 7:37 AM,4906669,http://www.buro.kaskadtmn.ru//sites/default/files/account/...,Unknown
Mar 28 2017 6:18 AM,4906649,http://artesaniasdepuebla.com/skin/frontend/default/iphone/images/medi...,Unknown
Mar 28 2017 6:13 AM,4906647,http://www.syyedengineers.com/images/image/wp-contents/js/themes/andri...,VALID PHISH
Mar 28 2017 5:40 AM,4906596,http://computergizmo.com.au/Newacc/,VALID PHISH
Mar 28 2017 5:40 AM,4906595,http://checkyouaccounte.blogspot.com/,Unknown
Mar 28 2017 5:39 AM,4906594,http://service.update.securly.upnow.log.1838572739.np.mypbdc.com/updat...,VALID PHISH
Mar 27 2017 11:11 AM,4902626,http://outlookweb-app.weebly.com/,VALID PHISH
Mar 27 2017 9:31 AM,4902452,http://www.mdn.gov.mz/media/contacts/images/,VALID PHISH
Mar 27 2017 9:24 AM,4902449,https://todaysandroid.com/wp-includes/random_compat/media/spreadsheet/...,Unknown
Mar 27 2017 9:24 AM,4902448,https://todaysandroid.com/wp-includes/random_compat/media/spreadsheet/...,VALID PHISH
Mar 27 2017 9:23 AM,4902447,http://shreenathji.net.in/alghanim/alghanim_files/jquery_js_download/a...,VALID PHISH
Mar 27 2017 9:23 AM,4902446,http://passord-utlper-ikt-helpdesk.sitey.me/,Unknown
Mar 27 2017 9:23 AM,4902445,http://svorkawebmailupdate.sitey.me/,VALID PHISH
Mar 27 2017 9:23 AM,4902444,http://outlookweb-app-2017-help.sitey.me/,Unknown
Mar 27 2017 9:00 AM,4902438,http://xpressweb1.myfreesites.net/,VALID PHISH
Mar 27 2017 8:55 AM,4902437,http://wmnab.sitey.me/,Unknown
Mar 27 2017 8:55 AM,4902436,http://owa-outlook.myfreesites.net/,VALID PHISH
Mar 27 2017 8:54 AM,4902435,http://wbappkonto.myfreesites.net/,VALID PHISH
Mar 27 2017 8:36 AM,4902419,http://oppgradere6.sitey.me/,Unknown
Mar 27 2017 8:27 AM,4902411,http://cuxtraeume.de/up/index.html,VALID PHISH
Jan 29 2017 5:02 PM,4776043,http://ge.sprint-rumex.net.185-101-158-5.513.hosttech.eu/ch4/...,Unknown
Jan 29 2017 8:06 AM,4775752,http://iveco-toolbox.ch/files/zjkkP2kCC/index.php...,Unknown
Jan 28 2017 9:23 PM,4775197,http://purplehaze.be/Site/components/com_mailto/views/sent/tmpl/region...,Unknown
Jan 28 2017 9:23 PM,4775196,http://purplehaze.be/Site/components/com_mailto/views/sent/tmpl/region...,Unknown
Jan 28 2017 9:22 PM,4775195,http://silverwoodparquet.com/media/system/css/...,Unknown
