Date,Date,ID,URL,Valid Phish,ubs,sunrise
2018-11-26 10:13:00,Nov 26 2018 10:13 AM,5855778,https://sunrise6.godaddysites.com/,VALID PHISH,False,True
2018-11-26 10:12:00,Nov 26 2018 10:12 AM,5855777,https://mipsunrise7.weebly.com/,Unknown,False,True
2018-12-13 15:07:00,Dec 13 2018 3:07 PM,5875057,https://sunrise.ch.residential.check.out.persoenliche.informationen.sw...,Unknown,False,True
2018-12-13 15:06:00,Dec 13 2018 3:06 PM,5875055,https://sunrise.ch.residential.check.out.persoenliche.informationen.sw...,Unknown,False,True
2017-06-12 22:08:00,Jun 12 2017 10:08 PM,5048929,http://sunrise9.webnode.fr/,Unknown,False,True
2018-12-13 13:14:00,Dec 13 2018 1:14 PM,5874902,http://networksflix.com/sunrise/,Unknown,False,True
2018-12-13 08:15:00,Dec 13 2018 8:15 AM,5874644,https://loginsunrisemail001.yolasite.com/,Unknown,False,True
2018-12-11 13:59:00,Dec 11 2018 1:59 PM,5872626,https://mysunrise.godaddysites.com,Unknown,False,True
2018-12-11 13:59:00,Dec 11 2018 1:59 PM,5872625,https://sunrisewebmail.weebly.com/,Unknown,False,True
2018-12-11 13:58:00,Dec 11 2018 1:58 PM,5872624,https://mysunrise.godaddysites.com/,Unknown,False,True
2018-12-11 12:16:00,Dec 11 2018 12:16 PM,5872537,https://sunrise5.godaddysites.com/,Unknown,False,True
2018-06-20 13:39:00,Jun 20 2018 1:39 PM,5699470,http://sms-sunriseid.webs.com/,VALID PHISH,False,True
2017-09-15 08:33:00,Sep 15 2017 8:33 AM,5219970,http://sunrisechlogin.weebly.com/,Unknown,False,True
2017-09-15 08:32:00,Sep 15 2017 8:32 AM,5219969,http://sunrise-uut.weebly.com/,Unknown,False,True
2017-08-25 04:58:00,Aug 25 2017 4:58 AM,5181165,https://sunriseministry.com/store/ext/responsiveslider/default/7644fa0...,Unknown,False,True
2017-08-25 04:58:00,Aug 25 2017 4:58 AM,5181164,https://sunriseministry.com/store/ext/responsiveslider/default/7644fa0...,VALID PHISH,False,True
2017-08-24 10:13:00,Aug 24 2017 10:13 AM,5179065,https://sunriseministry.com/plugins/intervention-image/intervention/im...,VALID PHISH,False,True
2017-08-24 10:13:00,Aug 24 2017 10:13 AM,5179064,https://sunriseministry.com/plugins/intervention-image/intervention/im...,VALID PHISH,False,True
2018-12-17 13:51:00,Dec 17 2018 1:51 PM,5878577,https://serviceloginsunrisemail01.yolasite.com/...,Unknown,False,True
