:TYPE	id:START_ID(parlamentarier_id)	fraktion_id:END_ID(fraktion_id)
IST_FRAKTIONMITGLIED_VON	371	4
IST_FRAKTIONMITGLIED_VON	372	8
IST_FRAKTIONMITGLIED_VON	373	5
IST_FRAKTIONMITGLIED_VON	374	1
IST_FRAKTIONMITGLIED_VON	375	4
IST_FRAKTIONMITGLIED_VON	376	5
IST_FRAKTIONMITGLIED_VON	378	3
IST_FRAKTIONMITGLIED_VON	379	5
IST_FRAKTIONMITGLIED_VON	380	4
IST_FRAKTIONMITGLIED_VON	381	1
IST_FRAKTIONMITGLIED_VON	382	3
IST_FRAKTIONMITGLIED_VON	383	4
IST_FRAKTIONMITGLIED_VON	384	5
IST_FRAKTIONMITGLIED_VON	386	4
IST_FRAKTIONMITGLIED_VON	387	5
IST_FRAKTIONMITGLIED_VON	388	1
IST_FRAKTIONMITGLIED_VON	389	3
IST_FRAKTIONMITGLIED_VON	390	1
IST_FRAKTIONMITGLIED_VON	391	5
IST_FRAKTIONMITGLIED_VON	392	1
IST_FRAKTIONMITGLIED_VON	393	1
IST_FRAKTIONMITGLIED_VON	394	5
IST_FRAKTIONMITGLIED_VON	395	4
IST_FRAKTIONMITGLIED_VON	396	4
IST_FRAKTIONMITGLIED_VON	397	3
IST_FRAKTIONMITGLIED_VON	398	3
IST_FRAKTIONMITGLIED_VON	399	8
IST_FRAKTIONMITGLIED_VON	400	1
IST_FRAKTIONMITGLIED_VON	401	3
IST_FRAKTIONMITGLIED_VON	402	8
IST_FRAKTIONMITGLIED_VON	403	4
IST_FRAKTIONMITGLIED_VON	404	8
IST_FRAKTIONMITGLIED_VON	405	5
IST_FRAKTIONMITGLIED_VON	406	8
IST_FRAKTIONMITGLIED_VON	407	2
IST_FRAKTIONMITGLIED_VON	408	4
IST_FRAKTIONMITGLIED_VON	409	2
IST_FRAKTIONMITGLIED_VON	410	4
IST_FRAKTIONMITGLIED_VON	411	4
IST_FRAKTIONMITGLIED_VON	412	4
IST_FRAKTIONMITGLIED_VON	413	4
IST_FRAKTIONMITGLIED_VON	414	8
IST_FRAKTIONMITGLIED_VON	415	1
IST_FRAKTIONMITGLIED_VON	416	3
IST_FRAKTIONMITGLIED_VON	417	8
IST_FRAKTIONMITGLIED_VON	418	2
IST_FRAKTIONMITGLIED_VON	419	8
IST_FRAKTIONMITGLIED_VON	420	3
IST_FRAKTIONMITGLIED_VON	421	4
IST_FRAKTIONMITGLIED_VON	422	4
IST_FRAKTIONMITGLIED_VON	423	8
IST_FRAKTIONMITGLIED_VON	424	4
IST_FRAKTIONMITGLIED_VON	425	5
