:TYPE	id:START_ID(parlamentarier_id)	partei_id:END_ID(partei_id)
IST_PARTEIMITGLIED_VON	394	5
IST_PARTEIMITGLIED_VON	395	4
IST_PARTEIMITGLIED_VON	396	4
IST_PARTEIMITGLIED_VON	397	3
IST_PARTEIMITGLIED_VON	398	3
IST_PARTEIMITGLIED_VON	399	7
IST_PARTEIMITGLIED_VON	400	1
IST_PARTEIMITGLIED_VON	401	3
IST_PARTEIMITGLIED_VON	402	7
IST_PARTEIMITGLIED_VON	403	4
IST_PARTEIMITGLIED_VON	404	7
IST_PARTEIMITGLIED_VON	405	5
IST_PARTEIMITGLIED_VON	406	7
IST_PARTEIMITGLIED_VON	407	2
IST_PARTEIMITGLIED_VON	408	4
IST_PARTEIMITGLIED_VON	409	2
IST_PARTEIMITGLIED_VON	410	4
IST_PARTEIMITGLIED_VON	411	4
IST_PARTEIMITGLIED_VON	413	4
IST_PARTEIMITGLIED_VON	414	7
IST_PARTEIMITGLIED_VON	415	1
IST_PARTEIMITGLIED_VON	416	3
IST_PARTEIMITGLIED_VON	417	7
IST_PARTEIMITGLIED_VON	418	2
IST_PARTEIMITGLIED_VON	419	7
IST_PARTEIMITGLIED_VON	420	3
IST_PARTEIMITGLIED_VON	421	4
IST_PARTEIMITGLIED_VON	422	4
IST_PARTEIMITGLIED_VON	423	7
IST_PARTEIMITGLIED_VON	424	4
IST_PARTEIMITGLIED_VON	425	5
