:TYPE	id:START_ID(organisation_id)	interessengruppe_id:END_ID(interessengruppe_id)
GEHOERT_ZU	382	27
GEHOERT_ZU	383	4
GEHOERT_ZU	384	3
GEHOERT_ZU	385	13
GEHOERT_ZU	387	12
GEHOERT_ZU	388	72
GEHOERT_ZU	389	18
GEHOERT_ZU	390	116
GEHOERT_ZU	391	5
GEHOERT_ZU	393	52
GEHOERT_ZU	394	50
GEHOERT_ZU	398	6
GEHOERT_ZU	401	60
GEHOERT_ZU	402	7
GEHOERT_ZU	403	55
GEHOERT_ZU	404	67
GEHOERT_ZU	405	12
GEHOERT_ZU	406	65
GEHOERT_ZU	407	15
GEHOERT_ZU	408	67
GEHOERT_ZU	409	62
GEHOERT_ZU	410	125
GEHOERT_ZU	411	6
GEHOERT_ZU	412	81
GEHOERT_ZU	413	74
GEHOERT_ZU	414	47
GEHOERT_ZU	415	67
GEHOERT_ZU	416	74
GEHOERT_ZU	417	5
GEHOERT_ZU	419	3
GEHOERT_ZU	420	31
GEHOERT_ZU	421	42
GEHOERT_ZU	422	3
GEHOERT_ZU	423	59
GEHOERT_ZU	424	41
GEHOERT_ZU	425	41
GEHOERT_ZU	426	41
GEHOERT_ZU	427	3
GEHOERT_ZU	428	2
GEHOERT_ZU	429	2
GEHOERT_ZU	430	40
GEHOERT_ZU	431	38
GEHOERT_ZU	432	13
GEHOERT_ZU	433	36
GEHOERT_ZU	434	5
GEHOERT_ZU	435	35
GEHOERT_ZU	436	34
GEHOERT_ZU	437	20
GEHOERT_ZU	438	20
GEHOERT_ZU	440	59
GEHOERT_ZU	442	30
GEHOERT_ZU	443	14
GEHOERT_ZU	444	41
GEHOERT_ZU	445	27
GEHOERT_ZU	446	26
GEHOERT_ZU	447	26
GEHOERT_ZU	448	26
GEHOERT_ZU	449	24
GEHOERT_ZU	450	23
GEHOERT_ZU	451	35
GEHOERT_ZU	452	21
GEHOERT_ZU	453	20
GEHOERT_ZU	454	20
GEHOERT_ZU	455	19
GEHOERT_ZU	456	19
GEHOERT_ZU	457	18
GEHOERT_ZU	458	17
GEHOERT_ZU	459	16
GEHOERT_ZU	460	16
GEHOERT_ZU	461	16
GEHOERT_ZU	462	77
GEHOERT_ZU	463	6
GEHOERT_ZU	464	18
GEHOERT_ZU	465	3
GEHOERT_ZU	466	18
GEHOERT_ZU	468	59
GEHOERT_ZU	469	59
GEHOERT_ZU	472	59
GEHOERT_ZU	473	52
GEHOERT_ZU	474	52
GEHOERT_ZU	475	52
GEHOERT_ZU	476	10
GEHOERT_ZU	477	19
GEHOERT_ZU	478	10
GEHOERT_ZU	479	18
GEHOERT_ZU	480	87
GEHOERT_ZU	481	42
GEHOERT_ZU	482	42
GEHOERT_ZU	483	42
GEHOERT_ZU	484	2
GEHOERT_ZU	485	2
GEHOERT_ZU	486	2
GEHOERT_ZU	487	42
GEHOERT_ZU	488	42
GEHOERT_ZU	489	12
GEHOERT_ZU	490	42
GEHOERT_ZU	491	42
GEHOERT_ZU	492	42
GEHOERT_ZU	493	59
GEHOERT_ZU	494	52
GEHOERT_ZU	495	52
GEHOERT_ZU	496	52
GEHOERT_ZU	497	51
GEHOERT_ZU	498	52
GEHOERT_ZU	499	59
GEHOERT_ZU	500	2
GEHOERT_ZU	501	59
GEHOERT_ZU	502	38
GEHOERT_ZU	503	42
GEHOERT_ZU	504	36
GEHOERT_ZU	505	36
GEHOERT_ZU	506	42
GEHOERT_ZU	507	53
GEHOERT_ZU	508	53
GEHOERT_ZU	509	2
GEHOERT_ZU	510	2
GEHOERT_ZU	511	2
GEHOERT_ZU	515	19
GEHOERT_ZU	516	18
GEHOERT_ZU	517	20
GEHOERT_ZU	518	53
GEHOERT_ZU	519	20
GEHOERT_ZU	520	58
GEHOERT_ZU	521	59
GEHOERT_ZU	522	58
GEHOERT_ZU	523	47
GEHOERT_ZU	524	43
GEHOERT_ZU	525	43
GEHOERT_ZU	526	43
GEHOERT_ZU	527	43
GEHOERT_ZU	528	26
GEHOERT_ZU	529	57
GEHOERT_ZU	531	27
GEHOERT_ZU	532	27
GEHOERT_ZU	533	41
GEHOERT_ZU	534	12
GEHOERT_ZU	535	26
GEHOERT_ZU	536	26
GEHOERT_ZU	537	56
GEHOERT_ZU	538	19
GEHOERT_ZU	539	122
GEHOERT_ZU	541	51
GEHOERT_ZU	542	26
GEHOERT_ZU	543	50
GEHOERT_ZU	544	19
GEHOERT_ZU	545	50
GEHOERT_ZU	546	50
GEHOERT_ZU	547	50
GEHOERT_ZU	548	16
GEHOERT_ZU	549	41
GEHOERT_ZU	550	44
GEHOERT_ZU	551	5
GEHOERT_ZU	552	26
GEHOERT_ZU	553	29
GEHOERT_ZU	554	123
