:TYPE	id:START_ID(organisation_id)	interessenraum_id:END_ID(interessenraum_id)
HAT_INTERESSENRAUM	322	1
HAT_INTERESSENRAUM	323	1
HAT_INTERESSENRAUM	324	1
HAT_INTERESSENRAUM	325	1
HAT_INTERESSENRAUM	326	1
HAT_INTERESSENRAUM	327	1
HAT_INTERESSENRAUM	328	1
HAT_INTERESSENRAUM	329	1
HAT_INTERESSENRAUM	331	1
HAT_INTERESSENRAUM	332	1
HAT_INTERESSENRAUM	333	1
HAT_INTERESSENRAUM	334	1
HAT_INTERESSENRAUM	335	1
HAT_INTERESSENRAUM	336	1
HAT_INTERESSENRAUM	337	1
HAT_INTERESSENRAUM	338	1
HAT_INTERESSENRAUM	339	1
HAT_INTERESSENRAUM	341	7
HAT_INTERESSENRAUM	345	2
HAT_INTERESSENRAUM	346	1
HAT_INTERESSENRAUM	347	1
HAT_INTERESSENRAUM	348	4
HAT_INTERESSENRAUM	349	1
HAT_INTERESSENRAUM	350	5
HAT_INTERESSENRAUM	351	1
HAT_INTERESSENRAUM	353	2
HAT_INTERESSENRAUM	354	1
HAT_INTERESSENRAUM	355	2
HAT_INTERESSENRAUM	358	2
HAT_INTERESSENRAUM	362	2
HAT_INTERESSENRAUM	363	2
HAT_INTERESSENRAUM	365	5
HAT_INTERESSENRAUM	367	2
HAT_INTERESSENRAUM	368	2
HAT_INTERESSENRAUM	372	1
HAT_INTERESSENRAUM	373	4
HAT_INTERESSENRAUM	374	1
HAT_INTERESSENRAUM	377	1
HAT_INTERESSENRAUM	379	2
HAT_INTERESSENRAUM	382	9
HAT_INTERESSENRAUM	383	2
HAT_INTERESSENRAUM	384	1
HAT_INTERESSENRAUM	385	1
HAT_INTERESSENRAUM	387	1
HAT_INTERESSENRAUM	389	1
HAT_INTERESSENRAUM	398	1
HAT_INTERESSENRAUM	401	1
HAT_INTERESSENRAUM	404	1
HAT_INTERESSENRAUM	406	1
HAT_INTERESSENRAUM	407	1
HAT_INTERESSENRAUM	410	4
HAT_INTERESSENRAUM	413	1
HAT_INTERESSENRAUM	415	1
HAT_INTERESSENRAUM	418	1
HAT_INTERESSENRAUM	419	1
HAT_INTERESSENRAUM	420	1
HAT_INTERESSENRAUM	421	1
HAT_INTERESSENRAUM	422	1
HAT_INTERESSENRAUM	423	1
HAT_INTERESSENRAUM	424	1
HAT_INTERESSENRAUM	425	1
HAT_INTERESSENRAUM	426	1
HAT_INTERESSENRAUM	427	1
HAT_INTERESSENRAUM	428	1
HAT_INTERESSENRAUM	429	1
HAT_INTERESSENRAUM	430	7
HAT_INTERESSENRAUM	431	1
HAT_INTERESSENRAUM	433	1
HAT_INTERESSENRAUM	434	1
HAT_INTERESSENRAUM	435	1
HAT_INTERESSENRAUM	436	1
HAT_INTERESSENRAUM	437	1
HAT_INTERESSENRAUM	438	1
HAT_INTERESSENRAUM	440	2
HAT_INTERESSENRAUM	442	1
HAT_INTERESSENRAUM	443	1
HAT_INTERESSENRAUM	444	1
HAT_INTERESSENRAUM	445	1
HAT_INTERESSENRAUM	446	1
HAT_INTERESSENRAUM	447	2
HAT_INTERESSENRAUM	448	1
HAT_INTERESSENRAUM	449	1
