:TYPE	id:int	interessenbindung_id:int	jahr:int	verguetung:int	beschreibung:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	freigabe_datum:localdatetime	parlamentarier_id:END_ID(parlamentarier_id)	organisation_id:START_ID(organisation_id)
VERGUETED	223	2436	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2660
VERGUETED	224	2437	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	652
VERGUETED	225	2438	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2661
VERGUETED	226	2439	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2662
VERGUETED	227	2440	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2663
VERGUETED	228	2441	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	2664
VERGUETED	229	3292	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19	261	3298
VERGUETED	232	4532	2015	"0"				"Angaben M. Meyer"	2020-12-04T09:52:58	296	4597
VERGUETED	233	3692	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	3603
VERGUETED	234	3687	2015	12000				"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	3598
VERGUETED	235	3688	2015	10000	"Entschädigung im Stundenansatz; Angabe entspricht ca-Wert."			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	3599
VERGUETED	236	3693	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	3604
VERGUETED	239	3691	2015	"0"	"Kein Honorar, Firma inaktiv"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	3602
VERGUETED	240	2894	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	2977
VERGUETED	241	3694	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	1153
VERGUETED	242	3695	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30	283	997
VERGUETED	243	4539	2016	8000		"https://www.comparis.ch/comparis/info/beirat.aspx"			2020-03-27T12:36:09	297	12
VERGUETED	244	3734	2016	8000	"Für vier halbtägige Sitzungen, inkl. Vor- und Nachbereitung"	"https://www.comparis.ch/comparis/info/beirat.aspx"			2020-04-19T19:28:10	285	12
VERGUETED	245	4542	2016	8000	"Für vier halbtägige Sitzungen inkl. Vor- und Nachbereitung"	"https://www.comparis.ch/comparis/info/beirat.aspx"			2020-03-27T13:28:36	125	12
VERGUETED	247	3910	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	3846
VERGUETED	248	3172	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	3233
VERGUETED	249	3168	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	576
VERGUETED	250	3167	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	1373
VERGUETED	251	3170	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	1063
VERGUETED	252	3171	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	71
VERGUETED	254	3164	2016	2000				"Schätzung L. Mazzone"	2020-03-12T15:52:15	295	1372
VERGUETED	255	3169	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	602
VERGUETED	257	4548	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	989
VERGUETED	258	4549	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	4665
VERGUETED	259	4550	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	1380
VERGUETED	262	4553	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	4666
VERGUETED	263	4554	2016	"0"				"L. Mazzone"	2020-03-12T15:52:15	295	1065
VERGUETED	264	3718	2015	300	"Sitzungsgeld"	"E-Mail 13.3.2016"			2020-03-13T12:38:28	284	3621
VERGUETED	265	3714	2015	"0"	"ehrenamtlich"			"E-Mail 13.3.2016"	2020-03-13T12:38:28	284	3619
VERGUETED	267	3713	2015	5000	"Entschädigung"			"Mail 13.3.2016"	2020-03-13T12:38:28	284	1667
VERGUETED	269	2720	2015	"0"	"ehrenamtlich"	"E-Mail 13.3.2016"			2020-03-13T12:38:28	284	2885
VERGUETED	270	3712	2015	"0"	"ehrenamtlich"	"E-Mail 13.3.2016"			2020-03-13T12:38:28	284	3617
VERGUETED	273	3038	2015	"0"	"Spesenvergütung"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58	314	3114
VERGUETED	274	3048	2015	"0"	"Ehrenamtlich"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58	314	3121
VERGUETED	276	3049	2015	"0"	"Ehrenamtlich"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58	314	3122
VERGUETED	277	3051	2015	"0"	"Ehrenamtlich"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58	314	3123
VERGUETED	278	3041	2015	"0"	"Spesenvergütung"			"E-Mail Jauslin 13.3.2016"	2020-03-07T10:50:58	314	1416
VERGUETED	288	4563	2016	5000	"Entschädigung Vizepräsidium und Mediensprecherin Romandie"			"Angaben L. Mazzone"	2020-03-12T15:52:15	295	581
VERGUETED	291	2521	2015	"0"	"Ehrenamtlich"			"E-Mail Büchel 15.8.2016"	2020-03-26T08:43:04	60	2726
