Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
Der Kanton Zürich ruft den Klimanotstand aus - für «eusi Zuekunft»,63/2019,,Dringliches Postulat,25.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8ab1ec8360a74470b40e7813620b623b,
Aufhebung des Gesetzes über das Salzregal und über den Beitritt des Kantons Zürich zur lnterkantonalen Vereinbarung über den Salzverkauf in der Schweiz,67/2019,,Parlamentarische Initiative,25.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=31e8e168e8574079ab1ec83d09b801a5,
Leistungsgruppe «Beteiligungsmanagement»,64/2019,,Postulat,25.02.2019,Staatskanzlei,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=45b8e71df63347188caab780f3643162,
Umweltbericht: Was ist dem Regierungsrat «die Landschaft» wert?,14/2019,,Anfrage,14.01.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2bbc252d44dc457a86798624bef16818,
Ambulante und stationäre medizinische Versorgung im Knonauer Amt,15/2019,,Anfrage,14.01.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ba298372e1b04616bdd3154a25f82e6e,
Bewegung trotz Sportdispens,16/2019,,Anfrage,14.01.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a08f7bab8e86486082933b9efecaf6aa,
Umweltbericht: Lärmblitzer gegen dröhnende Motoren,17/2019,,Anfrage,14.01.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ce85162358a24ce78a676ba7d5b7b9e1,
Rettungsgasse jetzt,18/2019,,Anfrage,14.01.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=92c8328c963849ac87049c51bf130077,
Ist die Zwangsförderung der ambulanten Behandlung (Vorlage 5293) eine unzulässige Sparübung?,19/2019,,Anfrage,14.01.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=579ac34a2f0e4b869ed1ed76a5ab4803,
Unterstützung der Klimastreiks in Zürich,20/2019,,Anfrage,14.01.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=34092e14d6a641f39dbf0e0a57bf2ff9,
Verschiedene Problemstellungen bezüglich des Themas «Steuerbefreiung von gemeinnützigen Institutionen»,21/2019,,Anfrage,14.01.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=94363186379f467abd40d0e55cf60a9f,
Mehr Start-ups im Technopark Winterthur,22/2019,,Anfrage,14.01.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=60f580e780024a178d0020c10d487788,
Das Öffentlichkeitsprinzip stärken,23/2019,,Motion,21.01.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d1e2f88425524adf8d90e542c56a3072,
Ökologisch verantwortbare Gewächshäuser,24/2019,,Motion,21.01.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5a075707faf34f8aab1f7493d56ec7bd,
Sharing Economy ? lösen statt verbieten,25/2019,,Postulat,21.01.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c624c9a66e734538a7a157362adbcba6,
Innovative Tarifstrukturen bei Photovoltaik-Anlagen,26/2019,,Postulat,21.01.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b94510c62c434c608003a01fbc4eb107,
Entwicklung neuer Abschlüsse an Höheren Fachschulen,27/2019,,Anfrage,21.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a27f886bb4e8403f9cab5697da155d15,
Verwirrung um Nutzung freiwerdender Areale in der Stadt Zürich,28/2019,,Anfrage,21.01.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2b1870cc62c246e78c365a4a933702c8,
Situation des Prostitutionsgewerbes im Kanton Zürich,29/2019,,Anfrage,21.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=453ce87d7b174ca991fdefb14c90a50d,
Schutz kritischer Internet-Infrastrukturen im Kanton Zürich,30/2019,,Anfrage,21.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3f680cb1742e4d1197efef6492031e2b,
Mobility Pricing,31/2019,,Anfrage,21.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=dad1a5db71454f9fbdfc59e2c69cd63d,
Vermögensnachbesteuerung von landwirtschaftlichen Betrieben,53/2019,,Anfrage,04.02.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=edcf380cfe8b4d28886b28905d410d8a,
Christbaumkulturen,54/2019,,Anfrage,04.02.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=cdef0e0ccb864b2f8587e836088428e1,
Sicherung der Parteienvielfalt im Kantonsrat,55/2019,,Einzelinitiative,10.01.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7d8e355ccd7f4404959042619bf3dc82,
Abrechnung Kredit für die Ausrichtung eines Investitionsbeitrags an die Stiftung Zentralbibliothek Zürich für die Erstellung eines Erweiterungsbaus,,5515,Vorlage,09.01.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4d7d136f1c7145d8a97caa90e008c28e,
Abrechnung Kredit für den Umbau der kleinen Reithalle und der Stallungen an der Sihl (Kulturinsel Gessnerallee) für die Schauspiel-Akademie Zürich,,5516,Vorlage,09.01.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c3c037b0f92a458699be522154621e0a,
Keine Privatisierung von Wasserversorgungen und  Abwasserentsorgungen,56/2019,,Parlamentarische Initiative,10.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ef97a46710624945997fcb33882b99e6,
Gewährung eines Darlehens an die Lehrmittelverlag Zürich AG und der Beteiligung an der Aktienkapitalerhöhung,,5522,Vorlage,21.01.2019,Bildungsdirektion,Finanzkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=30e2b816367f429cb393c0671b212a0e,
Abrechnung Kredit für den Umbau und die Erweiterung des Schulhauses Anton Graff der Berufsbildungsschule Winterthur,,5524,Vorlage,25.01.2019,Bildungsdirektion,Kommission für Bildung und Kultur,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2534e9a5a3814cea9dc3fd2ae5c96dc6,
Vereinbarung betreffend Immobilien Universität Zürich,,5525,Vorlage,27.02.2019,Bildungsdirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e03b2ae655f3479899b44977d9c92758,
Straftaten nach Art. 66a StGB müssen immer durch Gerichte beurteilt werden,88/2019,,Motion,11.03.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e469ca153e2d49719a87e2b5df431d29,
Verbesserungen auf der Stammstrecke Winterthur?Zürich bis zum Bau des Brüttener Tunnels,89/2019,,Postulat,11.03.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d2d0a1ffe7b64e70b11ae6ac5edc16be,
Digitalisierung Mittel- und Berufsfachschulen,90/2019,,Postulat,11.03.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8bf4c182ea20411aba030c2db12f1a6c,
Vorbildfunktion des kantonalen Personals in Bezug auf Flugreisen,91/2019,,Postulat,11.03.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4da8ef59568945b1a5b35d181d8526fa,
Klimaschutz durch Moorschutz,92/2019,,Postulat,11.03.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b82f3b1e0e1f4d4abfd03155e739dddc,
Vergleichsdienst über familienfreundliche Arbeitgeber,93/2019,,Postulat,11.03.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=df2e827b00e548e085964f043b6716ad,
Abzugsfähigkeit bei Staats- und Gemeindesteuern von energetischen Massnahmen bei Ersatzneubauten von Liegenschaften im Privatvermögen,94/2019,,Anfrage,11.03.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5ad2d7b69a1248898fe90dd468077618,
Fünf Jahre Demenzstrategie ? was sind die Ergebnisse?,95/2019,,Anfrage,11.03.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b2311d02df7c47e98a545fbb6f146a94,
Spital Affoltern: Wie weiter nach der Abstimmung vom 19. Mai 2019?,96/2019,,Anfrage,11.03.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7747391aa6a547cdad931846279f7d5b,
ZVV: Holzklasse in der S-Bahn während der Stosszeiten einführen?,97/2019,,Anfrage,11.03.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e72520cfb4e84dd6bce8afd8147090a8,
Ausrücken der Polizei wegen Asylbewerbern im Kanton Zürich,98/2019,,Anfrage,11.03.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=70849d01533d42e29b2dd2bd09544514,
Dringende Reparaturarbeiten am Berufsauftrag für die Volksschul-Lehrpersonen: Krankheitstage,99/2019,,Postulat,18.03.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=15104667a1e040f881fe70800083c0c9,
Fahr- und Reitverbote zwischen Obfelden und Ottenbach entlang der Reuss,100/2019,,Anfrage,18.03.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=72c36350f6b947f3a0f52981747c769a,
Der ZKB-CEO und der Rahmenvertrag,101/2019,,Anfrage,18.03.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a0b36282b0634b318949fe97d761695e,
Sport als Promotionsfach auf der Sekundarstufe II an allen Zürcher Schulen,102/2019,,Anfrage,18.03.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0b8dd12addba4ad7a14e6b55c57abcf2,
Demokratie an Schulen,103/2019,,Einzelinitiative,22.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d450336e756b4426a7543b08e27e6c24,
Kantonaler Mindestlohn,104/2019,,Einzelinitiative,22.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=62b18ee46a2a42718ac7b071764e219c,
Zugängliche Bildung,105/2019,,Einzelinitiative,22.02.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=61ad67d34cc341ea88fa6ea8898cc01d,
