Titel,KRNr.,VorlagenNr.,Geschaeftsart,Datum,Direktion,Kommission,Pendent bei,Direktlink,
Schüler in Informatik fit machen für den Arbeitsmarkt und zukünftig gegen den IT-Fachkräftemangel,403/2019,,Anfrage,10.12.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=108bd7d12208441ab9328f859a7c36af,
Negativzins: Praxis der ZKB,406/2019,,Anfrage,10.12.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=995a879685754000a9e13bc75521ff95,
Entwicklung des Grundbedarfs in der Sozialhilfe,405/2019,,Anfrage,10.12.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8be21a2e4a544c018667affe115c1b85,
Bewilligung eines Rahmenkredits 2020?2023 für Subventionen gestützt auf § 16 des Energiegesetzes,,5583,Vorlage,12.12.2019,Baudirektion,"Kommission für Energie, Verkehr und Umwelt",,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d1532084bb3b4a7baa10c564298fbff9,
Ersatzwahl Mitglied KPB für Josef Wiederkehr,407/2019,,,13.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2d9c2392eeff48ef8044e09aca8ffa23,
Ersatzwahl Mitglied KJS für Josef Widler,408/2019,,,13.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=db656467999147329e9a68efc757d9c4,
Wahl Ersatzmitglied Sozialversicherungsgericht für Tanya Senn-Buchter,409/2019,,,13.12.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=93d11a619fc8430b975bec0cdd8e4014,
Modellversuch «Bedingungsloses Grundeinkommen»,8/2020,,Einzelinitiative,11.12.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ba59c6a50ee144869831f50d623677c8,
Bericht der Geschäftsprüfungskommission über ihre Tätigkeit vom März 2019 bis Februar 2020,79/2020,,Tätigkeitsbericht,16.12.2019,,Geschäftsprüfungskommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=34c1f16ac57a4e868b0e66e217db4618,
Open-Source- und Open-Content-Stiftungen im Kanton Zürich,415/2019,,Anfrage,16.12.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a74d0d413896443b8cf3cf22c922a09e,
Notfalltreffpunkte im Kanton Zürich,416/2019,,Anfrage,16.12.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f40a1dda9666496d91dd11fa653408e9,
Präventionsmassnahmen gegen invasive Neophyten auf kantonseigenen Flächen,412/2019,,Postulat,16.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e91a216a93194f09a67993e933a36370,
Wirksamkeit von präventiven Massnahmen im Gesundheitswesen,417/2019,,Anfrage,16.12.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=307ee1695afd47088f4fe3732903876b,
Datenbasierte Energieplanung für Gemeinden,414/2019,,Parlamentarische Initiative,16.12.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2542e5dc231c4839ada332dd44bb433d,
Wassergebühren: Höhe der Spezialfinanzierungskonten,418/2019,,Anfrage,16.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=09443c9882ce4a4094efe5529c53db7c,
Bodenaufwertungen,419/2019,,Anfrage,16.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=09276b50856d4da592f66e2c91ad4e0a,
Ombudsstellen in den Kommunen im Kanton Zürich,420/2019,,Anfrage,17.12.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ad46f76ca1b54799985d1a28ae97a32d,
Behindertengerechter Ausbau des Grossmünsters,413/2019,,Postulat,17.12.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a426e92561d14208875d8d52e750de07,
Einheitliche Spitalfinanzierung: Keine Blockierung durch die Kantone beim wichtigen nationalen Reformprojekt,411/2019,,Dringliches Postulat,17.12.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5c1027720d7e42348c99046fa02b6faf,
Vermittlung angemessener Kenntnisse der Komplementärmedizin für Studierende der Veterinärmedizin,421/2019,,Interpellation,17.12.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bdc063a491f446a696fd274693b43d78,
Organisation des Personalwesens in der kantonalen Verwaltung,,5584,Vorlage,10.12.2019,Finanzdirektion,Kommission für Staat und Gemeinden,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9930d66b17734bf8b67571bc6c59b66d,
"Kantonale Volksinitiative ""Raus aus der Prämienfalle""",,5585,Volksinitiative,10.12.2019,Gesundheitsdirektion,Kommission für soziale Sicherheit und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=311dc1904bec479793f0d9ae1363b88b,
Meliorationen: Bericht über werterhaltende Massnahmen,,5586,Vorlage,19.12.2019,Baudirektion,Kommission für Wirtschaft und Abgaben,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=7ac56f904cc74be3b3be567f93753373,
Wahl Mitglied Baurekursgericht für Jürg Trachsel,61/2019,,Wahl,26.02.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bb321f9389de4519b30a5fb875c2b145,
Polygamie im Kanton Zürich,81/2019,,Anfrage,04.03.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e4df352f052544b181044f5cd32e9745,
Familienbesuch mit Postraub,79/2019,,Anfrage,04.03.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=42e8dfd29d374583a9289e3f6a4c40b6,
"Finanzierung und Zeitplan, Tram Zürich?Affoltern",80/2019,,Anfrage,04.03.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=37a028ac662942a5a335f45aa19016c4,
"Gefährdung der Axpo-kapitalbasis durch die Axpo Solutions, vormals Axpo Trading",82/2019,,Anfrage,04.03.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=841d01482c874226a6fcd7910306a64d,
Weiss der Kanton mehr?,85/2019,,Anfrage,04.03.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=64f17a40447f4fb5a8bbae1b33e2cbc0,
Ausmass und Wirkung von Steuersubventionen für energetische Gebäudesanierungen,83/2019,,Anfrage,04.03.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=898270c5dd0148c98752a5d4ea43ccc1,
Ausmass und Wirkung des geplanten Systemwechsels der Eigenmietwertbesteuerung auf Steuereinnahmen und Immobilienpreise,84/2019,,Anfrage,04.03.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=146ef7db14e242399f9652204aa9cb5c,
Standesinitiative ? Kein EU-Rahmenabkommen,77/2019,,Parlamentarische Initiative,04.03.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0508ca9f2bfb4ce59cf3eb0176026a4c,
Grenzgängervorrang beim RAV,78/2019,,Interpellation,04.03.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2cf27ae439d642caba3cb4144c11e1c5,
Auswirkungen der bestehenden zehnjährigen vollen Personenfreizügigkeit auf den Arbeitsmarkt sowie die gesetzliche Meldepflicht,86/2019,,Anfrage,04.03.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5e39671998c24a97afcad711c494fc4a,
PV-Anlage auf Laborgebäude Reidbach,87/2019,,Anfrage,04.03.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9cebf3bd735b405ca36d94a1e377874a,
Rechnung und Geschäftsbericht der Zürcher Kantonalbank für das Jahr 2018,75/2019,,Vorlage,01.03.2019,Bankrat Zürcher Kantonalbank,Aufsichtskommission über die wirtschaftlichen Unternehmen,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bc0a823375d84ad5b515a3f75c6d308f,
Bericht der Geschäftsprüfungskommission über ihre Tätigkeit von April 2018 bis Februar 2019,76/2019,,,04.03.2019,,Geschäftsprüfungskommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8e2b44a3f3bb4818a26f3dac0a2b5beb,
Wahl Ersatzmitglied Obergericht,117/2019,,Wahl,08.04.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a584e7f0060e4ce0b5fc2f5fdec68c03,
"Neue Gesetzesgrundlagen für die Elektrizitätswerke des Kantons Zürich: Abgrenzung der Aktivitäten im nicht-gewinnorientierten Monopolbereich (Service public) von denjenigen Aktivitäten, die im Wettbewerb mit anderen Marktteilnehmern erbracht werden",106/2019,,Motion,25.03.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bfd330dfdc6e4d6286831fdca250134f,
Befristete Förderung der Infrastruktur für eine CO2-arme Mobilität,107/2019,,Motion,25.03.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=a291f48a37cb469aa50dc631aba372c7,
Steuerungsmöglichkeiten mit der Pflegeheimliste,108/2019,,Postulat,25.03.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8e26a984838c4d418258fa80c0b7eb3a,
Verkehrsplanung Zürcher Unterland,109/2019,,Postulat,25.03.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=223f3058fc124ff9916f142ca2d26476,
Selbstbestimmung am Lebensende auch in Alters- und Pflegeheimen,110/2019,,Parlamentarische Initiative,25.03.2019,,Kommission für soziale Sicherheit und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=904b2e6f151f47dca09cb3bbf8a75b11,
Bewilligung Triagestelle gemäss §§ 35 und 36 Gesundheitsgesetz (GesG),111/2019,,Anfrage,25.03.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d49dbaf51c9d4f8694b195ed7653a758,
Zürcher Kantonalbank Österreich AG und der Verweis auf das AAA-Rating aus der kantonalen Staatsgarantie,112/2019,,Anfrage,27.03.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2233c330eeab47039b416ea5df1ac8b0,
Geschäftsbericht Regierungsrat 2018,,5532,Vorlage,28.03.2019,Staatskanzlei,Finanzkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=36da06f560e449a49bf7bd0e0cec0676,
Nachhaltigkeit des Beschaffungswesens am Kantonsspital Winterthur,120/2019,,Anfrage,08.04.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4cca19bd6b6647419a1592f696d1b58f,
Nachhaltigkeit des Beschaffungswesens am Universitätsspital Zürich,121/2019,,Anfrage,08.04.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=37aa32b723684233b7397e11806c0e9c,
"Flugreisen an Volks-, Berufs- und Mittelschulen im Kanton Zürich",119/2019,,Anfrage,08.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=965b6dae34aa4783b42c289815eaa582,
Ein modernes Wassergesetz ohne Privatisierungen,118/2019,,Motion,08.04.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5f50b7ec7e89494995233f2f7d33cce0,
Stärkung des Rechtsstaates,122/2019,,Einzelinitiative,15.03.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f19dab81a06e4a7185c594c542eb75e9,
Zusatzkredit für den Autobahnzubringer A4 Obfelden/Ottenbach,,5529,Vorlage,10.04.2019,Baudirektion,Kommission für Planung und Bau,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=2a6654302622419fa43f2b255350ca32,
Freizeitverkehr vermehrt mit ÖV abwickeln,124/2019,,Anfrage,15.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1938fd5262444b29a0602ec6020cd942,
Bau eines Hauses der Demokratie,123/2019,,Motion,15.04.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d8d42dd398094c1287507ae1c3268e8a,
Durchsetzung von gesetzkonformen Altersheim-Preisen,125/2019,,Anfrage,15.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=9a10f5de09274e00abcb3d5a06d4dbc0,
Geschäftsbericht und Jahresrechnung der Gebäudeversicherung Kanton Zürich (GVZ) 2018,,5537,Vorlage,17.04.2019,Sicherheitsdirektion,Aufsichtskommission über die wirtschaftlichen Unternehmen,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c0fabfc2e9f44f56939dd24d4007dac4,
Integration von Ü50 Arbeitslosen,,5538,Vorlage,17.04.2019,Volkswirtschaftsdirektion,Kommission für Wirtschaft und Abgaben,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0ffec21b61804d608114f8fb0aff308b,
Wahl der Aufsichts- und Sachkommissionen,127/2019,,Wahl,24.04.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=496226edfa164e48b7f3f16703bd83d6,
Wahl der Geschäftsleitung des Kantonsrates für das Amtsjahr 2019/2020,126/2019,,Wahl,24.04.2019,,Interfraktionelle Konferenz,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=eba5f99b2f504cda942d71877e5e946e,
Wiederwahl des Beauftragten für den Datenschutz (Datenschutzbeauftragter) für die Amtsdauer 2019?2023,,5531,Wahl,24.04.2019,Direktion der Justiz und des Innern,Geschäftsleitung,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=99e75075cc7747d6b792634bc15c18f2,
Jahresbericht Universität Zürich für das Jahr 2018,,5535,Vorlage,24.04.2019,Bildungsdirektion,Aufsichtskommission Bildung und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=26b3ba670787465cb0c109b81f3695d5,
Beiträge an die Stiftung Greater Zurich Area Standortmarketing für 2020 bis 2023,,5539,Vorlage,24.04.2019,Volkswirtschaftsdirektion,Kommission für Wirtschaft und Abgaben,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=62fd51a8bfc54218bc2d31a45568eb1c,
Bei Polizeimeldungen sind die Nationalitäten anzugeben,,5543,Volksinitiative,24.04.2019,Sicherheitsdirektion,Kommission für Justiz und öffentliche Sicherheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=52acde6eadbe41249928785dd797f675,
Erwahrung der Ergebnisse der Erneuerungswahl der Mitglieder des Kantonsrates vom 24. März 2019 für die Amtsdauer 2019?2023,,5540,Vorlage,28.04.2019,Direktion der Justiz und des Innern,Geschäftsleitung,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1198906debd34fc38c1206cb7a7268f6,
Ärzte im Kanton Zürich - sind wir überversorgt?,128/2019,,Anfrage,29.04.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=af0410522b3946c4a52d66dfa1ea5a71,
Jahresbericht der Zürcher Fachhochschule für das Jahr 2018,,5544,Vorlage,05.04.2019,Bildungsdirektion,Aufsichtskommission Bildung und Gesundheit,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=74677d1da6e14b9ba2d60f6d04a85c42,
"Abrechnung Objektkredit für den Ausbau der 340 Rapperswilerstrasse, Spital- bis Mattackerstrasse in Wetzikon",,5545,Vorlage,07.03.2019,Baudirektion,Kommission für Planung und Bau,Kantonsrat ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4bbda81f625c48fd9dbe956fb740a5b0,
Genehmigung von Teilen der Verkehrserschliessungsverordnung (VErV),,5542,Vorlage,18.03.2019,Volkswirtschaftsdirektion,"Kommission für Energie, Verkehr und Umwelt",,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=bb8b0bf946a84fd3acc82f5f47948ff5,
Wirtschaftliche Vorteile und gesundheitliche Folgen von 5G?,130/2019,,Anfrage,06.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c9b447417c9e44ed947f1b0cd8716aaa,
Intensive Begrünung von urbanen Zentren gegen die Hitzebelastung im Zeitalter des Klimawandels,129/2019,,Motion,06.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=1c51858aa5ff4af7852121f5e8832639,
Hochgeschwindigkeitszug statt Kurzstreckenflüge,131/2019,,Anfrage,06.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e56729d68df84812991661de24899457,
Pestizideinsatz im Wald,132/2019,,Anfrage,06.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=096c8b03f064456490abdfc798d031a8,
Ist der Kanton Zürich ein rechtsfreier Raum?,133/2019,,Anfrage,06.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=84951186ad5544bc8936f641d9c89290,
Entschädigungen an Liegenschafteneigner in Nürensdorf wegen direktem Überflug (BGR 136 II 165),134/2019,,Anfrage,06.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=e98fcf7a060040028b9e005f233ecb60,
Rechenschaftsbericht Sozialversicherungsgericht des Kantons Zürich für das Jahr 2018,182/2019,,Rechenschaftsbericht,07.05.2019,Sozialversicherungsgericht,Justizkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=334f4cf758274aa894ee9add6da87c07,
Rechenschaftsbericht Verwaltungsgericht des Kantons Zürich für das Jahr 2018,204/2019,,Rechenschaftsbericht,08.05.2019,Verwaltungsgericht,Justizkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=ef2d2c349c4f4edaba5949d9e0a53656,
Invasive Neophyten im Verkauf immer noch erhältlich,137/2019,,Anfrage,13.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=37ea65fd1f114dc689c9e3c219f292f5,
Aufträge an private Firmen im Asylwesen,138/2019,,Anfrage,13.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=00711c70d4ab4efda847dbb25fa19357,
Lohndumping bei der Firma Goger Swiss AG,135/2019,,Interpellation,13.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=abed6f49630741bb8500261e52faee0e,
Impact Investment und Impact Finance der ZKB durch nachhaltige Finanzierungs- und Anlageprodukte für Private und Firmen,139/2019,,Anfrage,13.05.2019,Bankrat Zürcher Kantonalbank,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=065c915f730448b196b5423d234f63cd,
Zukunft des Kasernenareals: Verkauf an Stadt oder Neuauflage des Masterplans Kasernenareal?,136/2019,,Dringliche Anfrage,13.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=742d46164eeb4b4692974efc744b1308,
Rechenschaftsbericht Obergericht des Kantons Zürich für das Jahr 2018,203/2019,,Rechenschaftsbericht,27.06.2019,Obergericht,Justizkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c973fad808f741e3823b83a4218993cc,
Umklassierung von öffentlichen Gewässern in Drainagen,143/2019,,Anfrage,20.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=3a61ac50fdf94818a1a8b5424dfa7bbf,
Zweites Standbein in der Trinkwasserversorgung,144/2019,,Anfrage,20.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c1bbe9623f224d2d8db6d9f4a9cbf371,
Kostenfaktor Bienengesundheit,145/2019,,Anfrage,20.05.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=aba2a8cf290748b0b3ccb94ab6b0d423,
Inventar der Standorte der Defibrillatoren,146/2019,,Anfrage,20.05.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8092efec10dd4b17bc8116b366ac2f68,
Humusaufbau zur Speicherung von CO2,140/2019,,Postulat,20.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=62f5999cb89342abb7b68c301a35c4b7,
Keine unnötigen Krankenkassen-Betreibungen,141/2019,,Postulat,20.05.2019,Gesundheitsdirektion,,Erledigt ,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=0f77ac77d3ba4adda8d8505bfbaa1c75,
Kongruente Regelungen für Hilfestellungen zu Hause,142/2019,,Interpellation,20.05.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=936e1d8a9ae6477db52baa9737847deb,
Schluss mit dem Schutz von Beamten vor Strafuntersuchungen,147/2019,,Einzelinitiative,04.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=36b877649bf9418e941cd8c0a26225ff,
Schaffung eines «Güterverkehrs-Verlagerungsgesetzes»,148/2019,,Einzelinitiative,29.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d6e749ab13124cfa81d6d67a13750ca4,
Zeit für neue S-Bahn-Haltestellen,149/2019,,Einzelinitiative,29.04.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=5499765684004f1b85bd936cb5125e96,
Hirzel-Strassentunnel,155/2019,,Anfrage,27.05.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=c9b6c76eb11c479db396b5f88a53f8a4,
MNA als Spielbälle zwischen den Ämtern?,156/2019,,Anfrage,27.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=47480b68ebec45e0b5c5fcf21274041b,
Reserveantibiotika in der Veterinärmedizin,157/2019,,Anfrage,27.05.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=851dd07da01f4895b917b26c0e13d064,
"Gesundheitsrisiken durch Nanopartikel von Benzinautos, insbesondere mit Direkteinspritzung",158/2019,,Anfrage,27.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=22222137da4d4121a4f0910c293b801c,
Befristete Arbeitsverträge und Mehr- und Überzeiten beim Arztpersonal am Universitätspital Zürich,159/2019,,Anfrage,27.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=65c932ecae564e468a836c31e57b1aea,
Koordination der Grossbaustellen Limmattalbahn und Wärmeverbund Zürich ? Altstetten und Reduktion der Belastung des Quartiers Altstetten,152/2019,,Postulat,27.05.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=298a8a15866242aa8383c8567814824e,
Kontrolle über Klimaschwänzerinnen und Klimaschwänzer,160/2019,,Anfrage,27.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=25782ac702ee450ab6132fd75b985bfb,
Standesinitiative zur Erleichterung der Erstellung von DNA-Profilen von Straftätern,154/2019,,Parlamentarische Initiative,27.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b0de02cf935840cfa2ae415ed1147b61,
Stärkung der Aufsicht über den Notfalldienst,150/2019,,Motion,27.05.2019,Gesundheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=543d2e47c3e845409b5f90e7125570b1,
Statistik im Bereich LGBTI-feindlichen Aggressionen,172/2019,,Interpellation,27.05.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=8f5ed05743114bb5a51beb1b050acf6f,
Weiterbildungen für den Umgang mit LGBTI-feindlichen Aggressionen,151/2019,,Postulat,27.05.2019,Sicherheitsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=4906ca4159674e25ad16ad49d7c2bcfb,
Geschlechtergleichstellung in der kantonalen Kulturförderung,153/2019,,Postulat,27.05.2019,Direktion der Justiz und des Innern,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=de9e8b697a30477c861da86971ce8a85,
Aufsicht über die MNA-Heime für unbegleitete Minderjährige (MNA),162/2019,,Anfrage,27.05.2019,,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=d0d5af811e4f485db21e92f1eef56d24,
Ausmass und Wirkung von Steuervergünstigungen,163/2019,,Anfrage,27.05.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=adcb4e898a61417088bd1c71c03026ec,
Wird die KJG-Umsetzung zum Bürokratiemonster?,164/2019,,Anfrage,27.05.2019,Bildungsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=08417e57cfe346c58695d2f3b643646f,
Informatik Vorkehrungen gegen Service Unterbrüchen aufgrund von Virusattacken,165/2019,,Anfrage,27.05.2019,Finanzdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=f122af1d909042ed92c10e1ad828e02b,
Pestizid-Belastung im Biolandbau,166/2019,,Anfrage,27.05.2019,Baudirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=139aab01fbfc4d298f2df5bf0187bd12,
Flughafen AG ? zusätzliche Starts nach 22 Uhr,169/2019,,Anfrage,27.05.2019,Volkswirtschaftsdirektion,,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=08c0074bc78147c895f9792a98b9431a,
Zahl der Beisitzenden der Arbeitsgerichte für die Amtsdauer 2020 bis 2026,170/2019,,Vorlage,30.05.2019,Obergericht,Justizkommission,,https://kantonsrat-zh.talus.ch/de/politik/cdws/geschaefte.php?id=b57f105de86c4fe1a3e78210c4cd605b,
