id	interessenbindung_id	jahr	verguetung	beschreibung	quelle_url	quelle_url_gueltig	quelle	freigabe_datum
183	3396	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
185	3397	2015	"0"	"Ehrenamtlich"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
186	3320	2015	3000	"Sitzungsgelder und Entschädigungen"			"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
187	3401	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
188	3403	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
189	3407	2015	"0"				"Angaben A. Barrile, 30.1.2016"	2020-06-19T08:04:08
202	3890	2015	2000		"https://www.zg.ch/behoerden/regierungsrat/downloads/Register%20Mandate%20RR%202015_18.01.2016.pdf/download"			2020-03-29T08:22:57
204	753	2015	6000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48
206	755	2015	15000		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48
207	757	2015	"0"		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48
210	1273	2015	"0"		"http://www.cewe.ch/index.php/en/politisch/transparenz"			2020-11-30T14:35:48
212	2432	2015	"0"	"Ehrenamtlich"			"E-Mail Addor, 10.3.2016"	2019-09-02T13:18:19
213	2433	2015	"0"	"Ehrenamtlich"			"E-Mail Addor, 10.3.2016"	2019-09-02T13:18:19
214	3293	2015	"0"	"Ehrenamtlich"			"E-Mail Addor, 10.3.2016"	2019-09-02T13:18:19
216	2429	2015	"0"	"ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
217	2430	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
218	2431	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
221	2434	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
222	2435	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
223	2436	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
224	2437	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
225	2438	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
226	2439	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
227	2440	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
228	2441	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
229	3292	2015	"0"	"Ehrenamtlich"			"Email 13.März 2016"	2019-09-02T13:18:19
232	4532	2015	"0"				"Angaben M. Meyer"	2020-12-04T09:52:58
233	3692	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
234	3687	2015	12000				"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
235	3688	2015	10000	"Entschädigung im Stundenansatz; Angabe entspricht ca-Wert."			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
236	3693	2015	"0"	"Ehrenamtlich"			"E-Mail Glarner 10.3.2016"	2020-03-08T19:58:30
